GENE,mr359-MV411-MYB-dTAG-DMSO_1h-r1_tcount,mr360-MV411-MYB-dTAG-DMSO_1h-r2_tcount,mr361-MV411-MYB-dTAG-DMSO_1h-r3_tcount,mr362-MV411-MYB-dTAG-DMSO_1h-r4_tcount,mr363-MV411-MYB-dTAG-DMSO_1h-r5_tcount,mr364-MV411-MYB-dTAG-DMSO_1h-r6_tcount,mr365-MV411-MYB-dTAG-VHL_1h-r1_tcount,mr366-MV411-MYB-dTAG-VHL_1h-r2_tcount,mr367-MV411-MYB-dTAG-VHL_1h-r3_tcount,mr368-MV411-MYB-dTAG-VHL_1h-r4_tcount,mr369-MV411-MYB-dTAG-VHL_1h-r5_tcount,mr370-MV411-MYB-dTAG-VHL_1h-r6_tcount
RNF224,0,0,0,0,0,0,0,0,0,0,0,0
ZNF862,0,0,0,1,0,0,0,1,1,1,0,0
CCER2,1,2,0,2,1,3,1,1,4,1,0,2
GOLGA8N,69,82,108,110,82,155,56,127,53,44,11,40
GOLGA6L4,1,0,0,0,0,0,0,0,0,0,0,0
PAFAH1B2P2,0,0,0,0,0,0,0,0,0,0,0,0
643719,2,0,0,0,0,1,1,1,0,0,0,0
643723,0,0,0,0,0,0,0,0,1,0,0,0
CASP4LP,0,0,0,0,0,0,0,0,1,0,0,0
643749,0,4,1,0,1,2,0,2,1,1,0,0
LINC02453,0,0,0,0,0,0,0,0,0,0,0,0
643783,1,0,1,0,0,2,6,4,2,0,1,0
ZFP62,7,7,18,25,17,17,19,34,22,17,5,12
LINC01128,6,3,4,5,3,7,9,9,1,7,1,5
TMPPE,6,4,19,17,3,15,11,17,9,12,6,9
CBLN3,0,0,0,0,0,0,0,0,0,0,0,0
RNF222,2,2,2,1,0,0,1,1,2,0,0,0
CRNDE,18,13,17,17,22,21,16,21,13,8,2,6
643977,5,6,7,10,4,5,5,2,2,4,3,4
FNDC10,0,0,0,0,0,0,0,0,0,0,0,0
MSH2-OT1,0,0,0,0,0,0,2,0,0,0,0,0
SDHAF1,27,15,37,38,15,16,37,36,32,27,12,29
644128,16,11,22,26,22,22,22,33,16,16,3,13
WIPF3,0,0,0,0,0,0,0,0,0,0,0,0
644172,2,12,6,5,9,6,4,7,9,7,0,5
SYCE3,0,0,0,0,0,0,0,0,0,0,0,0
644192,0,0,0,0,0,0,0,0,0,0,0,0
LINC00622,0,0,0,0,0,0,0,0,0,0,2,0
SNCA-AS1,0,0,0,0,0,0,0,0,0,0,0,0
644285,0,1,2,0,1,1,1,1,2,3,0,4
RPL13AP6,1,3,1,4,0,6,1,1,4,0,1,3
SMIM10,2,4,10,12,2,9,6,21,6,2,1,3
SMIM10L2B,0,0,0,0,0,0,1,0,0,0,0,0
644649,0,0,0,0,0,0,0,0,0,0,1,0
AC132192.2,18,17,13,14,12,16,13,29,12,14,7,13
RAD21-AS1,0,0,1,0,1,0,0,1,0,0,0,0
644714,0,0,2,1,2,1,0,2,0,1,0,0
644759,0,0,0,0,0,0,0,0,0,0,0,0
644762,3,0,1,1,1,3,2,0,1,0,0,1
FAM83G,1,2,2,7,1,3,1,6,7,4,0,4
LINC01829,0,0,0,0,0,0,0,0,0,0,0,0
PHGR1,0,0,0,0,0,0,0,0,0,0,0,0
LINC01184,1,2,3,4,3,2,5,8,2,2,1,2
GCC2-AS1,1,0,2,0,0,0,0,0,2,0,0,0
644936,2,3,2,1,3,4,1,3,1,1,3,2
644962,0,1,0,0,0,0,1,0,0,0,0,2
ALG1L2,0,0,0,0,0,0,0,0,0,0,0,0
PIK3CD-AS1,2,2,5,5,1,2,6,5,3,4,2,1
CCNI2,0,0,0,0,0,0,0,0,0,0,0,0
CBX3P2,0,3,0,3,1,1,3,3,1,4,0,2
LINC02802,1,1,0,0,0,0,1,0,0,0,0,1
LINGO3,0,0,0,0,0,0,0,0,0,0,0,0
EIF3J-DT,16,5,8,21,13,17,26,25,18,16,5,18
LINC00461,0,0,0,0,0,0,0,0,0,0,0,0
FAM86C2P,1,6,6,3,3,2,12,10,7,10,4,14
PRAMEF19,0,0,0,0,0,0,0,0,0,0,0,0
645431,0,0,1,1,0,1,3,1,1,1,0,5
ARRDC5,0,0,1,0,0,0,1,0,0,0,0,0
LINC01625,0,0,0,0,0,0,0,0,0,0,0,0
FAM238A,0,2,3,3,0,0,1,1,1,1,0,2
645638,0,0,0,0,0,0,0,0,0,0,0,0
POU5F1P4,0,0,0,0,0,0,0,0,0,0,0,0
RPL13AP3,1,0,0,0,0,0,0,0,0,0,0,0
LINC00520,0,0,0,0,0,0,0,1,0,0,0,0
645700,0,0,0,1,0,0,0,0,0,0,0,0
645752,0,0,0,0,0,0,0,0,1,0,0,0
TMEM14EP,0,0,0,0,0,1,0,0,0,0,0,0
NAP1L6P,0,0,0,0,0,0,0,0,0,0,0,0
ADORA2A-AS1,0,0,0,0,0,0,0,0,0,0,0,0
646074,0,0,0,0,0,0,0,0,0,0,0,0
CHEK2P2,0,0,0,0,0,0,0,0,0,0,0,0
LRRC77P,0,0,0,0,0,0,0,0,0,0,0,0
646214,9,9,5,11,5,9,7,10,9,1,2,6
646243,0,0,0,0,0,0,0,0,0,0,0,0
LINC00607,0,0,0,0,1,0,0,0,0,0,0,0
646405,0,1,0,0,0,0,1,0,0,1,0,0
646450,2,2,1,2,2,1,3,3,3,1,0,1
646471,1,0,0,0,0,0,0,2,0,0,1,0
HHIP-AS1,0,0,0,0,1,0,0,0,0,0,0,0
URAD,1,0,0,0,0,0,0,1,0,1,1,0
NIPBL-DT,45,42,65,95,44,70,55,100,40,37,20,40
646762,2,5,10,10,4,8,3,4,2,3,1,3
SETSIP,1,0,0,0,0,0,0,1,1,0,1,1
FAM227A,1,0,2,0,1,0,0,2,0,3,0,2
C6orf132,0,0,0,1,0,0,1,4,0,0,0,1
647033,101,99,128,151,97,117,132,148,87,99,48,105
GOLGA6L10,0,0,0,2,0,0,0,0,0,0,0,1
STMP1,5,10,12,16,4,10,20,11,5,9,5,13
LINC01192,0,0,0,0,0,0,0,0,0,0,0,0
EMBP1,1,1,6,4,2,3,2,4,6,2,0,1
SRGAP2B,6,7,2,10,4,10,8,7,8,3,2,13
C13orf42,0,0,0,0,0,0,0,0,0,0,0,0
SERPINE3,0,0,0,0,0,0,0,0,0,0,0,0
647190,3,3,1,3,1,2,1,0,0,4,0,3
647288,2,5,0,1,2,5,1,2,4,1,2,4
GMNC,0,0,0,0,0,0,0,0,0,0,0,0
TEX22,0,1,0,2,0,1,1,0,0,5,0,0
647859,1,3,2,1,0,1,5,0,2,2,0,0
MIR924HG,0,0,0,0,0,0,0,0,0,0,0,0
NORAD,323,296,415,493,277,541,398,740,369,349,114,402
PPP1R3G,0,0,0,0,0,0,0,0,0,0,0,0
AC025171.1,20,12,29,28,15,22,20,22,16,23,8,20
649946,2,4,5,3,2,2,2,4,1,6,0,7
650226,0,0,0,0,0,0,0,0,0,0,0,0
ABCA17P,0,0,0,0,0,0,0,0,0,0,0,0
ZNF192P1,4,4,4,6,1,7,1,7,3,2,0,6
651430,0,0,0,0,0,0,0,0,4,0,0,0
ANKRD33B,1,4,1,3,1,2,0,5,0,2,0,2
AC141586.1,21,10,5,13,9,9,10,10,6,20,4,16
SNORA48,19,15,20,26,8,19,10,22,17,17,5,19
652966,7,10,15,15,8,12,13,19,16,14,3,10
CASTOR1,1,0,1,0,0,1,0,0,0,0,0,0
652995,0,0,0,0,0,0,0,0,0,0,0,0
XAGE1B,2,3,3,6,2,5,7,14,6,8,3,7
GOLGA8J,34,36,17,37,16,21,21,19,26,17,10,15
GOLGA8T,3,0,3,5,1,3,0,3,1,4,0,4
653113,0,1,1,0,0,1,0,4,0,1,1,2
ZBTB8A,3,6,2,3,1,4,8,6,6,1,1,2
GOLGA8K,7,4,15,13,5,5,13,10,7,17,5,4
FAM228A,0,0,0,0,0,0,0,0,0,0,0,0
ANXA8,0,0,0,0,0,1,0,0,0,0,0,0
AC114490.1,0,2,6,9,2,8,6,10,10,4,0,7
653188,3,0,2,4,3,3,4,1,2,3,0,1
XAGE1A,2,3,3,6,2,5,7,14,6,8,3,7
ASAH2B,0,0,0,0,0,0,0,0,0,0,0,0
FAM153CP,0,0,0,0,0,0,0,0,0,0,0,0
KIAA0895L,1,4,4,5,1,2,3,5,1,3,0,4
653390,15,12,11,9,7,17,12,23,6,12,3,14
653399,0,0,0,0,0,0,0,0,0,0,0,0
SRGAP2C,6,3,11,8,9,7,8,21,4,4,1,6
653479,4,3,3,2,1,1,0,5,2,6,3,4
653483,0,1,1,0,0,1,0,0,2,0,0,0
GPR89A,2,2,2,4,4,2,7,6,0,1,2,8
TP53TG3C,0,0,1,0,0,0,0,0,0,0,0,0
TMEM236,0,0,0,1,0,0,0,0,0,0,0,0
PHLDB3,0,0,0,0,0,0,0,0,0,3,0,1
PPIAL4C,0,2,0,0,0,1,0,0,0,0,0,0
WASH7P,8,7,11,12,3,11,29,20,9,13,4,17
GOLGA6C,0,0,0,0,0,0,0,0,0,0,0,0
TBC1D3P1-DHX40P1,4,13,4,5,6,7,14,16,14,4,0,10
AC025048.6,0,2,6,3,2,2,7,12,0,4,0,1
653659,2,1,3,1,0,2,0,1,0,0,1,1
SEC1P,0,0,0,0,0,0,0,0,0,0,0,0
653691,0,0,0,0,0,0,0,0,0,0,0,0
653712,0,0,1,0,0,0,2,4,0,0,0,0
GOLGA8M,106,101,130,144,87,182,138,219,96,104,21,135
MZT2A,0,0,0,0,0,1,0,1,0,0,0,1
FAM72B,1,3,2,1,1,2,2,3,1,2,1,7
ZNF732,1,0,1,0,0,0,1,0,0,0,0,0
SNORA5A,2,5,4,2,2,6,7,4,4,5,6,6
SNORA8,13,10,14,13,13,26,13,30,15,10,0,4
SNORA75,10,5,5,8,1,13,3,5,1,1,1,9
SNORA13,0,5,1,3,0,4,1,2,0,3,0,0
LGALS9C,0,0,0,0,0,0,0,0,0,0,0,0
NME1-NME2,12,16,23,41,9,27,26,29,16,16,7,30
LRTM2,0,0,0,0,0,0,0,1,1,0,0,0
PAX8-AS1,0,0,0,0,0,0,0,0,0,0,0,0
SNHG20,47,38,81,82,31,41,69,74,65,58,15,70
654466,0,0,0,0,0,0,0,0,0,0,0,0
PCP4L1,0,0,0,0,0,0,0,0,0,0,0,0
NCF1B,8,3,3,1,2,2,1,11,3,6,5,8
NCF1C,0,0,1,3,0,3,5,2,2,2,5,3
654841,1,0,0,0,1,0,0,2,0,0,0,0
664618,4,3,1,9,2,4,6,3,3,7,0,4
HNRNPA1P10,62,48,75,99,36,81,85,114,52,74,28,80
SCARNA21,0,0,1,1,0,0,0,0,0,0,0,0
SCARNA2,0,0,0,0,0,0,0,0,1,0,0,0
SCARNA7,0,0,0,3,0,0,0,1,0,1,0,0
SCARNA13,2,0,1,5,2,0,1,4,0,2,2,3
SNHG22,0,0,0,0,0,0,0,0,0,0,0,0
SCARNA22,0,0,0,3,0,1,0,5,3,1,0,2
SCARNA4,0,1,1,6,0,7,2,6,3,2,0,1
SCARNA6,3,0,2,6,0,4,1,3,0,1,0,2
SCARNA1,2,1,0,0,1,1,0,3,0,1,0,1
SCARNA5,1,0,2,0,1,0,1,2,0,1,0,0
SCARNA8,0,3,0,1,1,0,1,0,1,0,0,0
SCARNA12,16,14,19,22,10,6,9,22,18,7,3,8
SCARNA15,1,0,7,5,1,5,2,11,2,3,0,1
LINC00488,0,0,0,0,0,0,0,0,0,0,0,0
SCARNA16,3,7,6,7,2,5,10,6,1,14,1,5
SNORA1,10,6,4,6,10,8,5,22,7,3,2,7
SNORA2A,0,2,0,1,1,2,2,2,1,3,0,3
SNORA2B,2,1,2,0,0,1,0,4,2,1,0,0
SNORA5B,1,1,2,0,0,1,1,2,0,2,0,4
SNORA5C,4,1,2,4,0,2,3,3,1,3,0,5
SNORA7B,2,2,3,3,2,4,3,6,3,1,1,5
SNORA9,23,18,29,36,19,17,10,22,17,5,4,21
SNORA12,0,0,0,1,0,1,0,1,2,1,0,0
SNORA14B,2,1,2,1,0,2,1,1,0,0,0,0
SNORA15,2,0,1,1,2,1,3,3,1,1,0,0
SNORA17A,14,9,14,15,12,12,12,18,3,8,3,8
SNORA18,26,15,19,39,21,29,33,40,24,28,3,25
SNORA20,1,3,1,1,1,4,3,3,0,3,0,1
SNORA22,2,1,4,2,1,3,1,3,4,2,0,1
SNORA24,7,12,15,16,9,9,12,10,6,5,3,9
SNORA26,6,5,7,7,5,9,3,14,7,3,3,3
SNORA28,2,1,2,11,3,3,2,14,1,3,3,8
SNORA29,3,0,6,12,6,3,2,4,3,0,0,5
SNORA30,3,0,3,2,0,0,0,1,1,0,0,0
SNORA31,11,9,11,15,6,11,15,15,12,8,1,13
SNORA2C,6,1,2,4,2,2,2,1,1,0,1,4
SNORA36A,2,3,3,4,0,0,5,2,0,2,0,1
SNORA38,0,0,0,0,1,0,1,0,0,1,0,1
677822,20,15,25,37,17,22,28,43,20,15,6,16
SNORA80E,1,2,0,1,3,4,1,2,2,1,0,3
SNORA17B,9,7,8,11,2,9,10,8,10,8,2,6
SNORA44,5,13,16,16,7,17,18,21,15,10,2,14
SNORA3B,8,4,8,10,6,7,1,4,4,4,0,7
SNORA46,0,0,0,0,2,0,0,1,0,0,0,0
SNORA47,0,0,0,2,0,0,0,1,0,0,0,0
SNORA50A,1,0,0,1,0,0,0,6,1,1,0,1
SNORA51,4,2,13,13,4,10,7,8,5,10,0,9
SNORA53,0,0,1,0,0,0,1,7,2,0,0,2
SNORA55,5,5,9,9,1,8,3,6,1,8,2,3
SNORA56,1,7,6,7,10,9,8,3,5,1,1,4
677836,2,1,2,1,0,1,1,1,1,1,0,0
SNORA61,19,15,29,40,28,27,41,42,23,26,17,28
677839,2,2,1,1,4,2,1,9,1,3,0,1
677840,1,0,0,2,0,0,0,1,0,0,0,0
SNORA74B,1,0,2,3,1,2,1,0,0,5,0,0
SNORA50C,1,0,1,0,0,2,2,0,0,1,0,1
SNORA78,2,1,0,2,2,1,0,2,2,0,0,3
SNORA80A,0,0,0,0,0,0,0,0,0,0,0,0
SNORA81,11,5,9,18,9,18,12,12,9,15,6,8
677848,0,0,0,1,2,0,2,3,1,0,0,2
SNORD1B,3,1,0,0,0,0,1,0,0,2,0,1
677850,4,5,1,5,1,2,3,8,1,1,0,0
CD27-AS1,2,2,2,2,0,2,2,3,5,3,1,1
SNORA25,12,11,9,9,10,25,8,19,10,13,1,13
SNORD9,0,1,1,1,0,4,0,0,0,3,0,0
SNORD12,5,1,6,10,3,2,2,10,1,6,0,4
SNORD11,2,6,3,3,1,6,2,5,2,2,0,3
SNORA32,10,7,15,11,6,10,9,22,2,6,5,3
SNORD5,9,9,17,10,3,15,14,32,16,4,4,20
SNORA16A,16,8,14,13,4,9,13,22,15,4,2,8
SNORD6,2,1,5,5,2,8,7,5,1,1,4,3
SNORD13,0,0,0,0,0,0,0,0,0,0,0,0
SNORD45C,4,4,3,1,1,2,5,8,6,1,0,0
SNORD17,7,1,1,4,1,2,2,5,0,0,0,3
692088,3,2,8,7,2,6,4,11,2,2,1,4
692089,15,7,7,9,8,10,10,14,5,12,2,15
692090,3,3,3,7,4,4,5,3,2,2,0,1
SNORD23,3,2,3,4,2,4,1,0,1,4,0,3
SNORD62B,2,2,1,2,2,8,5,6,3,3,0,2
MSMP,0,0,0,0,0,0,0,0,0,0,0,0
FAM86DP,16,9,23,23,6,20,20,22,17,19,7,20
SNORD65,11,5,12,24,6,7,5,15,8,10,0,11
SNORD67,2,1,3,2,2,4,3,1,2,1,1,4
SNORD69,7,5,11,15,6,21,4,9,11,6,0,7
SNORD70,0,0,0,0,3,0,0,3,0,0,0,3
SCARNA10,3,1,1,2,1,0,0,0,1,0,0,0
SNORA16B,0,1,1,0,1,0,0,0,0,0,0,1
SNORA57,5,6,4,16,6,7,7,18,9,8,4,18
692195,8,7,6,10,6,8,9,6,10,3,1,5
692196,38,37,59,71,30,42,52,60,34,48,7,47
692197,6,2,6,5,5,9,9,10,8,3,0,6
692198,15,10,12,17,9,18,13,15,13,13,4,16
SNORD84,2,4,7,8,0,3,5,5,8,1,4,4
SNORD86,36,30,39,50,23,32,35,43,39,35,10,41
SNORD88A,0,1,1,2,0,0,1,0,2,1,0,0
692203,11,12,12,19,2,18,8,10,15,11,3,12
692204,4,1,4,3,3,0,2,1,3,3,1,4
SNORD89,3,1,1,2,0,0,1,2,2,2,1,4
692208,0,1,0,1,0,2,1,2,1,1,0,0
SNORD93,2,1,0,3,2,2,3,0,1,1,0,3
SNORD99,8,5,10,12,5,6,9,8,8,8,2,15
SNORD110,17,10,17,17,7,10,6,15,14,14,2,8
SNORD97,3,5,5,4,1,4,3,7,4,4,2,5
692224,0,1,0,0,0,0,0,0,0,0,0,0
SNORD94,7,7,5,8,3,4,1,8,3,1,0,2
692227,27,21,35,36,12,18,32,50,31,29,9,38
SNORD117,1,1,0,4,1,1,1,3,0,2,0,2
692234,4,4,7,2,4,0,3,6,5,4,0,2
692235,4,4,7,2,4,0,3,6,5,4,0,2
PPAN-P2RY11,36,32,41,44,16,26,43,53,44,35,6,38
MIR421,2,0,0,0,0,0,0,0,0,1,0,0
MIR548D1,2,1,6,2,4,1,3,9,1,3,0,1
MIR554,0,0,0,0,0,0,0,0,0,0,0,0
MIR555,2,2,1,1,1,4,1,1,2,2,0,1
MIR564,0,0,0,0,0,0,0,0,0,0,0,2
MIR573,0,0,2,0,2,5,2,0,1,1,1,1
MIR579,0,0,0,0,0,0,0,0,0,0,0,0
MIR590,2,2,1,8,0,6,2,10,1,4,0,2
MIR600,1,0,2,1,0,1,0,0,0,1,0,1
MIR606,0,0,0,0,0,0,0,0,0,0,0,0
MIR611,0,0,0,0,0,0,1,0,0,1,0,0
MIR612,0,0,1,3,0,0,1,0,0,0,1,1
MIR613,1,1,0,0,0,0,0,0,0,0,0,0
MIR616,3,1,2,2,4,2,3,6,3,2,3,3
MIR621,0,0,1,0,0,0,2,2,0,0,1,1
MIR623,0,3,0,1,0,1,0,0,0,1,0,1
MIR628,2,1,0,1,0,1,0,4,1,2,0,4
MIR630,0,0,0,0,0,0,0,1,0,0,0,0
MIR631,1,1,2,2,1,1,0,0,0,0,0,0
MIR632,2,8,5,7,1,5,6,11,3,10,3,9
MIR635,1,1,0,0,0,0,1,0,0,0,0,0
MIR636,8,9,8,14,3,7,13,11,11,10,3,8
MIR637,0,2,0,1,1,1,0,2,0,0,0,0
MIR638,0,0,0,0,0,0,1,0,0,0,0,0
MIR639,0,0,0,0,0,0,0,0,1,0,0,2
MIR641,0,0,0,0,0,0,0,0,0,0,0,0
MIR643,0,0,0,1,1,3,0,2,1,1,0,2
MIR644A,0,0,0,0,0,0,0,0,0,0,0,0
MIR646,0,0,0,0,0,0,0,0,0,0,0,1
MIR647,2,0,2,1,0,2,1,0,0,1,0,2
H2AC19,0,0,1,0,0,0,1,0,0,2,0,0
LHFPL3-AS2,1,0,0,0,0,0,0,0,1,0,0,0
INS-IGF2,0,0,0,0,0,0,0,0,0,0,0,0
MIR658,0,0,0,0,0,0,0,1,0,0,0,0
MIR659,0,0,2,1,0,0,1,0,0,2,0,1
SNORD118,0,0,1,0,1,0,1,0,0,0,1,2
CASC8,0,0,0,0,0,0,0,0,0,0,0,0
727708,0,0,0,0,0,1,0,0,0,0,0,0
727751,0,0,0,0,0,1,0,0,0,0,0,0
ROCK1P1,0,0,0,4,0,1,1,3,5,1,0,1
727764,6,2,4,9,2,2,6,6,6,6,2,2
RGPD8,0,0,0,0,0,0,0,1,0,0,0,0
FAM156B,0,0,1,1,0,2,0,1,0,0,0,0
727896,3,5,2,8,5,4,7,17,9,4,7,8
TLCD2,1,0,0,3,0,0,0,3,2,0,0,2
GXYLT2,0,0,0,1,0,0,0,0,0,2,0,0
RHOXF2B,0,0,0,0,0,0,0,0,0,0,0,0
MROH1,3,2,0,1,0,0,0,1,1,2,0,1
728024,5,0,4,0,1,1,4,3,2,2,1,2
SSR4P1,0,0,4,0,0,1,1,4,0,1,2,0
GOLGA8O,30,17,27,29,11,18,32,22,20,25,18,27
728066,22,28,38,38,19,32,45,37,30,23,8,25
ZBTB8B,0,0,0,0,0,0,0,0,0,0,0,0
NUTM2A,0,0,0,0,0,0,0,0,0,0,0,0
NUTM2D,0,1,0,0,0,0,1,0,0,0,0,0
728175,0,0,0,0,0,0,0,0,0,0,0,0
NUTM2A-AS1,1,0,5,2,1,2,3,8,0,6,0,3
FAM155A,0,0,0,0,0,0,0,0,0,0,0,0
728218,0,0,0,0,0,0,0,0,0,0,0,0
728228,0,1,0,0,1,0,0,0,2,1,0,0
PI4KAP1,13,17,17,20,10,17,18,34,21,18,4,21
728262,0,0,0,0,0,0,0,0,0,0,0,0
CLEC19A,0,0,0,0,0,0,0,0,0,0,0,0
D2HGDH,0,0,0,2,0,0,3,4,0,0,1,1
GOLGA6L7,0,0,0,0,0,0,0,0,0,0,0,0
GTF2H2C,4,4,7,4,2,2,8,8,5,2,6,3
AC055839.2,0,0,2,1,0,1,4,5,3,4,0,5
728407,2,1,3,4,0,3,1,3,2,2,1,3
728409,0,0,0,0,0,0,0,0,0,0,0,0
LINC00680,6,1,6,6,1,1,3,9,13,9,3,6
LINC01137,0,1,1,1,0,1,1,3,1,1,0,1
PPIEL,4,4,5,3,0,1,2,8,6,5,0,2
AC020928.1,2,2,2,1,1,3,0,2,1,1,0,1
DNLZ,4,11,2,5,0,1,7,10,6,3,6,6
SERF1B,12,0,2,0,1,1,3,1,1,0,4,0
728495,0,0,0,0,0,0,0,0,0,0,0,0
GOLGA8H,20,20,23,30,19,22,20,53,22,22,8,28
728524,0,0,0,0,0,1,0,0,0,0,0,0
C2orf92,0,1,0,0,0,3,3,1,0,1,0,2
728554,2,6,1,4,1,5,7,6,7,4,3,2
ENTPD1-AS1,1,0,1,1,2,0,2,3,3,1,0,0
C12orf73,3,3,7,4,2,7,3,8,5,3,2,6
CCDC169,0,0,0,0,0,1,0,1,0,0,0,0
PCAT18,0,0,0,0,0,0,0,0,0,0,0,0
728609,3,3,2,1,2,0,2,8,2,3,4,3
728613,1,2,2,1,1,3,2,6,1,0,0,3
CCDC30,0,1,0,0,1,0,1,0,0,0,0,1
CDK11A,37,36,51,52,25,33,38,64,36,39,13,41
728643,0,0,0,0,0,0,0,0,0,0,0,0
RPL13AP5,413,318,485,605,243,334,535,599,400,475,196,425
SLC35E2B,16,10,19,23,6,20,20,24,17,20,2,11
728673,1,0,0,3,0,1,0,2,0,2,0,2
EIF3CL,3,2,4,3,0,1,1,0,1,1,0,0
728730,0,0,0,2,0,2,0,0,1,1,2,2
NPIPB8,0,0,0,0,0,0,0,0,0,0,0,0
728739,0,2,0,0,0,0,3,0,0,1,0,2
NPIPB6,0,0,0,0,0,0,0,0,0,0,0,0
AC092295.2,3,2,2,4,0,2,2,3,4,1,0,0
728758,2,6,7,4,2,2,4,9,1,9,2,6
SCAMP1-AS1,22,15,14,27,15,29,12,25,17,11,6,16
ANKDD1B,1,0,0,1,0,0,2,1,1,0,0,0
C1GALT1C1L,0,0,0,0,0,0,2,0,0,0,0,0
FAM72D,2,0,3,3,0,2,1,2,1,0,1,2
NBPF8,2,3,3,1,1,6,2,2,3,0,2,2
C12orf71,0,0,0,0,0,0,0,0,0,0,0,0
728882,0,0,0,0,0,0,0,2,0,0,0,0
NPIPB11,0,0,0,1,0,0,0,0,0,0,0,0
ZNF736,33,27,57,50,31,26,54,69,32,40,10,35
728963,11,9,13,23,19,16,16,16,10,8,3,11
728989,0,0,0,0,0,0,0,0,0,0,0,0
ZBED5-AS1,2,1,2,3,1,0,2,1,1,4,0,1
RPEL1,0,0,0,0,0,0,0,0,0,0,0,0
LINC02158,0,0,0,1,1,1,1,1,1,0,0,0
AGAP5,1,3,3,1,0,1,1,4,4,2,0,4
729096,28,14,28,27,16,19,22,41,17,27,14,29
GTF2IRD1P1,1,0,0,1,0,0,0,0,0,0,0,0
729171,0,0,0,0,0,0,0,0,0,0,0,0
729176,5,2,4,3,6,1,5,4,3,3,0,6
729178,0,0,0,0,0,0,0,0,0,0,0,0
729220,0,0,2,1,0,0,0,0,0,1,0,0
729224,0,0,0,0,0,0,0,0,0,0,0,0
CCR2,49,41,45,80,30,50,32,29,21,35,10,28
PRR20B,0,0,0,0,0,0,0,0,0,0,0,0
PRR20C,0,0,0,0,0,0,0,0,0,0,0,0
PRR20D,0,0,0,0,0,0,0,0,0,0,0,0
PRR20E,0,0,0,0,0,0,0,0,0,0,0,0
NUTM2B,0,0,0,0,0,0,0,0,0,0,0,0
TP53TG3D,0,0,0,0,0,0,0,0,0,0,0,0
ZNF286B,15,8,17,22,9,17,12,19,10,12,1,7
729338,0,0,0,0,0,0,0,0,0,0,0,0
LINC01873,0,0,0,0,0,0,0,0,0,0,0,0
TP53TG3B,0,0,1,0,0,0,0,0,0,0,0,0
PLIN4,0,0,1,2,0,1,0,0,0,0,0,0
729375,3,4,4,6,2,3,2,8,1,7,0,5
CASTOR2,15,12,27,22,5,7,16,23,18,7,4,16
CCDC61,0,0,0,0,0,0,0,0,0,0,0,0
TMEM242,16,22,26,20,15,46,42,42,24,32,6,18
AACSP1,0,1,0,0,2,0,1,2,0,0,0,1
FAM72A,2,2,5,7,1,6,2,2,3,6,3,3
RGPD6,0,0,0,0,0,0,0,1,0,0,0,0
729582,0,0,1,0,0,0,0,0,0,0,0,0
SPDYE6,0,0,0,0,0,0,0,0,0,0,0,0
729603,6,8,16,20,11,9,9,23,6,11,3,8
729609,0,0,0,0,0,0,3,0,0,0,0,0
729614,13,9,7,23,9,12,21,20,16,17,2,11
PRR23A,0,0,0,0,0,0,0,0,0,0,0,0
729633,1,0,0,2,6,0,5,0,0,0,3,1
AC106820.2,0,0,1,1,0,0,2,0,0,1,0,2
PACRG-AS3,0,0,0,0,0,0,0,0,0,0,0,0
CCDC175,0,0,0,0,0,0,0,0,0,0,0,0
729668,0,0,0,0,0,0,0,0,0,0,0,0
LINC00847,5,9,10,7,8,6,6,13,15,14,5,12
729689,0,0,0,0,0,0,0,0,0,0,0,0
DNAJC27-AS1,0,0,0,0,0,0,1,0,0,0,1,1
AC068587.4,0,1,0,1,0,0,2,0,4,0,0,0
729737,0,0,0,0,0,0,0,0,0,0,0,0
GOLGA8CP,0,0,0,0,0,0,2,0,0,0,0,0
729799,13,28,22,19,6,15,17,20,25,20,10,41
FAM160A1,0,0,0,0,0,0,0,0,0,0,0,0
UMAD1,1,6,1,3,1,1,3,8,3,2,0,3
RGPD2,0,0,0,0,0,0,0,0,0,0,0,0
AL121987.2,0,1,0,4,0,0,0,0,0,0,0,1
TBC1D3,0,0,0,0,0,0,0,0,0,0,0,0
TBC1D3H,0,1,1,0,0,1,1,0,1,1,0,0
729930,0,0,0,0,0,0,0,0,0,0,0,0
SHISA7,26,32,39,35,14,23,49,54,33,34,18,40
MORN2,0,0,0,0,0,0,0,4,0,0,0,0
729970,0,0,0,0,0,0,0,0,0,0,0,0
729975,0,0,0,0,0,0,0,0,1,0,0,0
BORCS8,7,6,12,12,5,9,10,11,5,11,1,9
SHISA9,0,0,0,0,0,0,0,0,0,0,0,0
ZNF814,11,10,13,21,7,11,19,14,7,13,7,18
LINC00886,1,2,0,0,0,4,0,2,0,0,0,0
730092,6,2,4,4,4,6,4,10,4,5,1,2
MOSMO,13,10,12,24,16,13,12,32,20,18,6,17
AL162231.1,0,0,0,2,0,0,2,1,0,1,0,0
AC007402.1,0,0,0,0,0,0,0,0,0,0,0,0
CRYZL2P,1,1,3,6,4,5,7,8,4,9,0,3
TMEM229A,0,0,0,0,0,0,0,0,0,0,0,0
730198,0,0,0,0,0,0,0,0,0,0,0,0
730202,0,2,0,2,0,2,1,3,1,1,0,1
LINC01136,0,0,0,0,0,1,1,2,0,0,0,0
