GENE,mr522-MV411-DMSO-r1_tcount,mr523-MV411-DMSO-r2_tcount,mr524-MV411-DMSO-r3_tcount,mr525-MV411-DMSO-r4_tcount,mr526-MV411-DMSO-r5_tcount,mr527-MV411-Mebendazole-r1_tcount,mr528-MV411-Mebendazole-r2_tcount,mr529-MV411-Mebendazole-r3_tcount,mr530-MV411-Mebendazole-r4_tcount,mr531-MV411-Mebendazole-r5_tcount
PIGM,10,16,6,38,14,9,17,8,15,2
IGSF8,1,0,0,2,0,3,1,0,0,0
PGAP3,0,1,6,4,2,2,0,1,0,0
HAUS8,1,8,4,16,9,3,5,4,12,2
MVB12A,0,0,1,2,0,0,2,0,2,0
SP140L,3,2,6,8,2,2,4,4,3,3
MMGT1,37,29,21,71,37,37,46,33,46,24
ARMC6,4,7,5,9,6,1,1,10,3,0
ZNF670,17,13,6,43,11,19,16,12,26,8
MAPK1IP1L,54,74,64,143,71,83,89,92,103,47
TPTE2,1,0,0,2,0,0,1,0,0,0
ZFAND4,1,1,5,5,0,7,4,3,4,0
TRMT10A,1,4,4,7,6,5,4,4,9,3
CACNA2D4,6,9,28,33,19,37,32,20,41,20
TBC1D31,2,2,10,4,8,3,5,7,6,1
FBXO44,2,0,2,5,0,2,2,4,1,1
MRFAP1,92,124,120,348,157,131,187,112,159,103
TADA2B,5,17,16,21,7,7,10,7,13,4
TBCK,1,4,1,6,3,3,4,3,1,4
TJAP1,4,6,0,13,1,3,2,3,3,2
ST7-AS1,0,0,1,2,0,0,0,0,0,0
ST7-AS2,0,0,0,0,0,0,0,0,0,0
ARHGAP18,16,18,16,44,19,14,23,15,27,13
GCNA,3,0,2,6,2,5,2,1,5,1
ACTR8,5,8,5,44,10,13,11,11,13,9
ATP5IF1,26,27,48,88,47,38,48,31,46,37
FOXP2,22,25,15,63,21,31,43,34,39,33
PIGS,3,7,11,29,12,6,11,5,13,8
SERHL,0,0,0,0,0,0,0,0,1,0
TTYH2,3,4,0,10,2,3,4,1,5,2
HTRA3,2,1,0,3,0,2,2,4,0,0
CAMK2N2,1,0,0,0,0,0,0,1,2,1
ZNF101,19,22,32,68,40,26,33,25,34,26
SYAP1,10,5,12,32,6,12,9,14,20,6
LENG9,1,3,5,14,2,4,10,2,4,7
SFXN1,30,34,34,90,31,32,37,34,44,14
SFXN5,2,1,1,2,0,3,2,1,3,1
ORMDL1,37,34,23,96,30,38,47,34,50,20
ORMDL3,4,11,13,20,8,17,10,9,21,13
PAXBP1,117,90,105,249,101,125,121,98,138,72
TMEM203,13,20,38,65,34,15,34,20,28,21
ARHGAP12,10,10,16,23,10,14,8,13,17,4
SNORD46,2,0,2,8,2,1,3,0,0,1
SNORD38A,4,5,7,13,7,6,2,6,7,5
OPN4,0,0,0,0,1,0,0,0,0,0
H2AZ2,52,75,74,174,91,70,111,77,99,62
TP53INP1,0,4,0,3,1,1,2,0,4,1
CEP41,17,7,9,41,19,15,28,14,30,7
FNIP1,52,42,36,115,37,58,56,52,75,24
96610,8,14,8,24,9,10,16,11,15,6
LIMS3,0,0,0,0,0,0,0,0,0,0
TGS1,28,21,28,49,32,20,31,13,30,20
MYL12B,19,25,21,52,18,22,32,30,47,22
EGLN2,9,11,5,24,14,13,25,10,22,7
CAVIN3,0,0,0,0,0,0,0,1,1,3
ERI2,14,8,13,29,7,10,12,9,9,10
SAT2,0,0,0,0,0,0,0,0,0,0
DTD2,3,3,3,15,2,5,6,2,9,5
GTF3C6,5,2,0,4,5,3,5,2,1,3
SNX18,2,5,0,9,4,4,2,4,6,5
RWDD2A,3,4,0,6,4,4,2,1,5,2
CMTM7,4,0,3,6,1,5,2,0,1,0
RDH13,1,11,8,18,5,6,24,11,3,3
IFT43,0,1,0,1,0,1,1,2,1,0
STX1B,0,1,0,0,0,1,1,1,0,0
GLMP,0,6,3,1,1,1,1,1,2,5
FDX2,0,3,1,15,12,5,11,3,5,3
WDR89,19,36,24,72,30,27,45,36,36,28
L3HYPDH,0,0,1,1,1,1,3,3,1,2
TP53RK,46,47,29,123,56,54,60,38,58,33
SGF29,1,0,1,0,0,1,1,3,1,1
VPS26B,5,9,19,38,14,16,14,5,26,7
NACC1,17,21,20,33,23,20,26,27,28,36
CFAP36,0,0,0,0,2,1,0,0,0,0
MED8,13,21,27,81,32,39,33,22,17,19
KTI12,19,19,19,61,32,13,27,23,25,11
RPUSD1,3,3,3,12,6,6,3,3,10,4
PLCD3,0,0,1,1,0,1,0,0,3,1
MTFR2,8,6,11,14,7,12,9,6,7,2
CDCA5,43,56,56,134,56,45,96,63,86,44
AHNAK2,0,0,0,0,0,0,0,0,0,0
RPLP0P2,0,0,0,2,0,0,2,0,1,0
SAAL1,0,0,0,1,1,2,2,2,1,0
IZUMO4,0,0,0,0,0,0,0,0,0,0
SCAMP4,0,1,2,5,2,4,2,2,5,0
ADAT3,0,1,0,0,0,1,2,4,4,0
CHST14,1,12,3,6,4,5,6,3,5,0
GOLM2,13,20,19,39,9,23,23,13,27,9
MISP3,0,0,0,0,2,0,0,0,2,0
SLC46A1,0,0,0,0,0,0,0,0,0,0
C12orf57,0,0,0,0,0,0,0,0,0,1
LARP4,44,48,44,156,48,80,86,57,97,41
GLCCI1,1,7,1,11,0,1,3,1,2,1
TMEM106A,2,2,4,6,1,1,0,2,2,3
SFT2D1,8,10,10,35,16,13,11,17,12,6
TEX261,30,48,39,101,45,45,55,30,47,33
SMIM12,23,24,41,124,40,31,40,31,43,25
AZIN2,0,0,0,0,1,1,0,0,0,1
TMEM54,0,0,0,0,0,0,0,0,0,0
HELQ,46,46,60,129,60,46,64,40,77,30
CMTM1,0,0,0,2,1,1,0,1,0,0
ADPRHL1,0,0,0,0,0,2,5,5,2,0
MFSD3,1,0,0,0,0,1,1,0,1,0
SDSL,0,2,0,0,0,0,0,0,0,0
TUBA3FP,0,0,0,0,0,0,0,0,1,0
PIK3IP1,2,2,6,3,3,5,5,0,3,3
HENMT1,4,0,2,3,6,6,9,4,2,0
SLC35A4,15,10,5,43,14,13,23,19,11,7
DTX2,1,0,0,0,0,0,0,1,1,1
TOE1,8,6,10,23,17,10,7,10,16,8
MCM3AP-AS1,8,1,5,11,7,9,4,4,2,4
BUD23,0,2,3,22,6,5,1,0,2,2
TRIM9,5,10,9,29,2,8,10,13,13,5
SLC2A13,1,5,5,8,5,6,6,5,8,3
LACTB,1,1,6,6,4,5,7,3,9,2
EFHC1,0,1,0,2,2,0,0,0,0,0
NLRP3,8,9,15,13,15,8,17,8,21,12
SNORD15B,1,0,0,3,1,0,3,0,0,2
TIRAP,0,0,1,3,1,2,0,0,0,2
MIR155HG,92,73,50,231,102,77,119,66,103,48
ERMAP,2,6,8,15,12,6,12,7,11,5
CARD16,1,1,0,0,0,1,1,2,4,1
BTBD9,3,7,3,11,6,5,8,3,8,0
LMTK3,0,0,0,1,0,0,0,0,0,0
MBD6,3,8,8,23,8,7,12,3,12,7
GPRIN1,0,0,0,3,2,2,1,1,1,1
CSMD3,5,7,5,25,12,10,20,9,15,6
SLC25A25,14,11,15,25,15,21,25,24,22,17
STK11IP,1,1,0,2,1,0,0,0,2,0
TUBGCP5,4,6,9,25,5,8,11,1,8,12
FMNL2,0,0,0,4,0,1,0,0,0,0
ELFN2,0,0,0,0,0,0,0,0,0,0
TMEM132B,0,0,2,0,2,0,0,0,0,1
PSMG3-AS1,1,2,1,2,0,1,2,3,4,1
ESCO1,16,15,20,43,14,19,22,12,14,12
TMEM200A,0,0,0,0,0,0,1,1,0,0
MYSM1,110,95,94,337,99,137,124,134,165,74
GNRHR2,0,0,0,0,0,0,0,1,0,0
KLHL29,0,0,0,0,0,0,0,0,0,0
CROCCP3,2,3,0,11,3,3,1,3,2,0
RHPN1,0,0,0,0,0,0,0,0,0,0
LENG8,14,25,10,33,27,25,30,23,21,12
PNMA5,0,0,0,0,5,0,1,0,0,0
PWWP2A,33,21,29,78,25,32,43,29,33,13
SMYD4,3,2,5,16,7,4,2,8,14,7
SLAMF6,0,0,0,1,0,0,0,0,0,0
OSBPL1A,2,9,1,16,7,8,6,9,11,3
OSBPL5,0,0,0,2,0,1,2,0,3,1
OSBPL7,1,2,1,0,2,2,4,4,0,1
OSBPL8,56,45,19,118,37,36,66,54,55,35
OSBPL9,4,4,4,8,0,9,12,9,4,4
OSBPL11,2,12,7,19,8,11,14,10,12,12
C1QTNF3,2,2,3,6,5,5,0,3,2,2
C1QTNF6,0,0,0,0,0,1,0,0,0,1
FBXO32,5,2,8,21,12,9,11,17,17,10
TMEM123,59,74,49,197,78,93,111,84,103,73
SMIM19,6,7,9,29,8,12,11,14,13,8
GPRASP2,0,0,0,0,0,0,0,0,0,0
TSGA13,0,0,0,0,0,0,0,0,0,0
PTPMT1,13,22,31,60,32,21,27,15,37,9
FLYWCH2,0,1,1,1,1,1,3,3,3,1
WDR31,4,2,0,0,0,5,2,5,4,1
ZNF618,12,22,26,47,21,24,21,23,27,19
CGAS,5,3,1,12,4,3,8,6,6,3
CCDC124,1,4,1,3,3,6,6,7,4,5
HAUS1,5,1,2,6,2,0,2,0,1,1
115110,0,0,0,0,0,0,0,0,0,0
SLC26A7,0,0,0,0,0,0,0,0,0,0
MARCHF3,0,0,0,3,0,1,0,0,3,0
ZNF554,1,2,3,5,2,2,5,0,3,1
ATG4A,5,8,7,13,2,1,5,5,5,5
KCTD12,1,2,3,6,0,0,1,0,2,0
OMA1,0,0,0,1,0,0,0,0,0,0
SLC25A26,2,7,7,17,9,13,9,9,9,6
PCMTD1,5,9,11,15,16,17,20,10,22,5
GPR146,0,0,0,0,0,0,0,0,0,0
LRRC42,1,3,5,13,0,4,4,4,6,0
GBP4,0,0,1,1,0,2,0,0,2,0
GBP5,1,0,0,0,0,0,1,0,0,0
LRRC56,0,0,0,0,0,0,0,0,0,0
MALSU1,0,1,0,0,0,0,2,0,0,0
UHRF2,51,74,63,143,63,61,80,69,81,32
ZNF689,22,28,29,63,35,24,45,27,35,23
FCHO2,0,3,0,3,0,0,3,1,1,0
TENT5B,0,2,1,5,3,0,0,0,2,0
TNFRSF13C,0,0,0,0,0,0,0,0,0,1
NOSTRIN,0,0,0,0,0,0,0,0,0,0
ARHGAP33,1,0,0,6,1,2,0,0,0,1
EVI5L,1,3,2,3,0,0,2,0,1,1
TRMT61A,2,12,12,32,6,7,8,10,15,13
RASGRP4,0,0,0,0,0,0,1,2,0,2
C12orf56,2,0,6,0,0,0,2,0,1,0
DIS3L,3,1,5,13,7,1,1,10,6,3
ARL11,24,30,25,82,34,42,39,27,45,17
FANCD2OS,0,0,0,0,0,0,0,0,0,0
DHRS1,0,0,0,0,1,0,0,0,1,0
WDFY2,22,17,16,56,20,30,40,24,29,19
TSR3,2,1,2,4,1,2,4,1,1,2
CCDC151,0,0,0,0,0,0,0,0,0,0
ZNF653,0,0,2,1,0,1,0,0,0,1
RNF166,2,8,2,18,12,3,6,5,9,0
RMI2,9,14,13,37,13,14,15,9,24,6
OSR2,1,5,5,3,4,5,4,2,7,3
LRRC58,103,113,82,313,96,111,163,123,148,69
LYSMD3,42,46,34,121,67,74,66,42,70,35
DNTTIP1,2,6,8,24,5,8,11,8,11,9
FOXP4,1,5,4,12,4,4,6,9,10,3
ZNF526,4,11,9,50,12,9,13,8,9,4
KLHDC3,1,3,2,8,2,10,5,6,6,2
WDR92,8,8,11,26,11,5,9,11,18,5
NUS1,35,32,25,83,30,34,41,36,46,37
FAM210B,4,4,6,7,11,2,7,8,5,3
PHACTR3,0,0,0,2,1,3,1,4,3,0
TM4SF19,0,0,0,0,0,0,0,0,0,0
FAM122A,26,26,31,71,26,36,42,38,39,22
ZMYND19,4,6,8,16,5,7,6,7,10,6
COX20,7,10,11,32,12,6,4,5,8,2
ABHD15,9,18,27,50,24,17,27,24,29,16
TLCD1,1,0,0,9,2,2,2,0,2,1
GINM1,0,1,1,3,2,1,4,2,4,1
ACSM1,0,0,0,1,0,0,0,0,0,0
116349,9,7,11,26,17,27,21,12,11,3
IL22RA2,0,0,0,0,0,0,0,0,0,0
ZNF837,1,1,1,0,1,4,0,0,1,0
RAB39B,0,0,0,0,0,0,2,0,0,0
GRIN3A,0,0,0,0,1,0,0,0,0,0
GRIN3B,0,0,0,0,0,0,0,0,0,0
TOP1MT,0,0,2,0,1,1,0,2,3,0
OLIG1,0,1,0,1,0,1,0,1,2,2
TSEN15,20,18,7,55,22,20,27,10,25,10
NIBAN1,13,26,21,43,34,16,30,16,21,10
MRPL53,1,1,3,4,0,1,0,4,2,6
MRPL54,3,8,9,27,10,6,14,14,22,8
PPP1R27,7,10,13,25,14,13,16,12,35,16
N4BP2L2-IT2,8,20,10,37,13,14,24,17,34,17
RPL39L,0,0,0,4,0,0,0,3,0,1
HSPA12B,0,0,0,0,0,0,0,0,0,0
CNTROB,2,0,0,0,0,0,0,0,2,0
SNAP47,1,1,1,0,1,4,4,5,5,3
LEAP2,0,1,0,0,0,2,0,1,3,0
LRG1,3,6,2,3,0,12,6,5,2,5
116936,8,13,19,27,13,11,16,8,30,9
SNORD83A,2,3,13,16,5,0,2,1,4,1
SNORD83B,3,2,7,4,2,3,2,2,2,1
ACAP3,0,3,0,1,0,0,0,0,4,1
ARAP1,0,1,0,2,2,0,0,2,4,1
AGAP2,0,1,0,2,0,2,0,1,2,4
AGAP3,3,5,7,10,4,4,7,7,7,4
TADA1,13,21,14,51,20,26,25,16,27,10
CATSPER1,0,0,0,0,0,0,0,0,0,0
THEM4,13,13,23,41,28,22,31,15,23,21
CATSPER2,2,1,1,0,1,2,2,1,1,1
RAB3IP,2,1,1,9,1,4,1,0,5,2
SSX2IP,11,10,11,30,25,25,14,16,25,7
FTSJ3,7,14,12,16,12,19,7,9,13,10
CIB3,0,0,0,0,0,0,0,0,0,0
TAGAP,10,8,12,33,17,15,21,14,26,7
RFFL,9,8,25,48,25,20,29,16,30,20
ZNF354B,1,0,0,2,0,2,1,0,0,0
UBE2J2,4,6,3,3,8,6,6,7,5,4
BORCS5,1,1,1,2,1,0,0,2,0,2
ANTXR2,40,38,34,135,41,60,62,58,53,41
118433,2,7,2,11,3,4,3,5,8,7
EXOSC6,16,15,18,54,23,12,27,17,12,5
ZNF511,3,9,18,15,3,7,18,13,15,15
CHCHD1,13,12,10,49,12,13,19,6,13,8
MSS51,1,3,2,4,2,6,1,3,5,6
CFAP70,1,0,0,0,0,0,0,0,0,0
PSTK,0,2,5,3,2,0,3,2,2,0
PIK3AP1,72,107,104,211,108,96,116,78,91,69
ZFYVE27,12,15,19,31,18,11,26,18,40,20
COMTD1,0,2,0,0,0,0,0,0,0,0
FRA10AC1,2,5,2,2,0,1,1,1,2,1
ANKRD22,0,0,1,2,2,2,1,0,3,0
SFXN2,2,0,2,0,0,1,1,2,2,1
PDZD8,28,21,20,53,14,22,24,15,22,14
AGAP4,0,0,0,2,1,0,1,0,0,1
BORCS7,22,12,12,34,8,15,24,23,20,12
SFR1,2,1,4,6,3,1,3,3,2,2
119437,0,0,0,3,0,1,0,0,0,0
ANAPC16,10,12,8,20,20,21,22,16,20,6
SFXN4,12,12,20,40,18,11,19,15,13,9
IFTAP,0,0,0,0,0,0,0,0,0,0
SLC36A4,10,14,8,29,11,16,28,20,28,3
TMEM45B,0,0,0,0,0,0,0,0,0,0
CYP2R1,0,0,0,4,0,2,0,0,1,2
PIH1D2,0,0,0,0,1,0,0,0,0,0
JAML,1,2,1,5,0,2,3,1,6,1
DNAJC24,10,13,9,43,27,19,14,17,26,8
ARL14EP,24,40,16,91,23,39,44,38,50,24
DEPDC4,2,3,3,5,5,1,8,6,2,2
TMEM52B,2,0,2,3,0,2,1,0,1,0
C12orf45,1,1,2,0,1,0,0,0,6,0
SLC15A4,14,7,9,33,9,16,17,15,17,4
RHEBL1,2,2,4,7,5,5,6,2,2,2
ZNF641,7,11,13,51,21,22,38,19,39,14
NEDD1,6,8,1,27,5,10,5,2,13,3
IKBIP,23,20,24,58,18,34,42,30,41,11
ERP27,3,3,6,1,3,1,5,5,3,4
FGD4,0,0,0,0,0,1,0,0,0,0
AEBP2,13,13,10,33,12,12,26,22,15,16
BTBD11,0,0,0,6,0,1,3,1,1,2
ALKBH2,1,2,2,3,1,0,3,1,4,3
SPPL3,12,11,7,12,11,12,21,15,12,5
SLAIN1,0,0,0,0,0,0,0,0,0,0
ANKRD9,1,0,0,0,0,0,1,2,0,0
IFI27L1,0,0,0,4,0,0,0,0,1,0
C14orf28,1,3,6,0,6,1,2,1,4,0
TRAPPC6B,16,21,22,61,14,21,23,18,31,6
CLBA1,2,0,0,3,0,1,0,0,3,1
PLD4,0,0,0,0,0,0,0,0,0,0
ADSS1,0,0,0,0,0,0,0,1,0,0
MRPL52,7,18,1,10,5,13,12,14,6,6
LRR1,12,13,13,38,21,16,21,16,18,7
KLHDC1,0,3,2,2,0,2,1,0,3,2
SOCS4,83,86,62,217,87,81,103,102,96,60
NAA30,17,21,9,47,15,16,24,18,25,9
NOXRED1,1,0,0,0,0,0,1,0,0,0
JDP2,3,5,3,11,3,12,16,19,17,12
ISCA2,7,8,9,29,9,11,12,11,11,6
TTC8,0,0,1,2,1,0,1,1,0,0
SLC24A4,0,0,1,0,0,0,0,0,0,1
SLC25A29,0,3,2,0,2,3,3,4,0,1
DEGS2,0,0,0,0,0,0,0,0,0,0
LEO1,5,2,2,15,3,6,3,4,5,3
C15orf40,5,8,9,30,13,9,13,8,12,7
SENP8,5,7,3,4,1,1,9,8,2,4
MTFMT,1,0,2,0,0,0,4,1,2,2
TARS3,2,4,2,4,9,2,7,3,6,0
LRRC28,3,2,1,3,2,6,2,1,2,0
TMEM266,0,0,0,0,0,1,0,0,1,0
NIPA1,30,23,22,87,33,31,35,26,45,20
WHAMM,10,8,10,20,10,7,10,3,11,7
FSD2,0,0,0,0,0,0,0,0,0,0
C16orf46,1,1,0,4,5,2,0,1,2,1
NTAN1,0,0,0,0,0,0,0,0,0,0
CEP20,63,68,72,179,100,82,104,67,94,63
DNAAF1,0,0,0,0,0,0,0,0,0,0
DCUN1D3,5,22,12,35,25,33,36,19,26,26
CMTM3,17,17,26,44,24,37,51,37,37,31
SPATA2L,1,1,0,0,3,2,6,4,1,4
SPATA33,2,2,2,4,1,2,1,0,3,4
CCDC78,0,0,0,0,0,0,0,0,0,1
IQCK,5,0,2,1,6,4,5,1,6,2
PAQR4,12,19,17,51,15,8,19,12,19,10
ZC3H18,3,5,2,10,4,5,10,5,12,4
ANKS3,2,2,7,14,0,1,2,3,3,2
UBALD1,2,1,5,4,6,7,10,7,13,16
ZNF720,1,2,0,3,1,2,4,0,1,1
TMEM219,1,0,2,1,2,1,1,2,0,0
EARS2,6,19,24,61,14,20,25,14,16,23
SNX20,6,6,2,16,2,12,9,15,18,8
TMEM170A,32,35,32,93,41,37,48,33,50,23
METTL23,5,3,11,33,16,11,5,9,13,6
MSI2,14,18,13,40,18,15,34,19,39,16
SLC38A10,0,2,5,7,0,2,0,1,2,4
CANT1,5,23,20,50,14,16,19,15,17,17
CD300LB,0,0,0,2,1,2,0,4,0,1
CYB5D1,14,12,15,46,16,8,27,11,18,10
OVCA2,8,10,12,33,10,13,19,8,15,10
USP43,0,1,0,1,2,0,0,0,2,0
KRBA2,1,0,0,1,1,0,0,0,2,2
C17orf64,0,1,1,0,0,0,0,0,0,0
HEXIM2,0,0,0,3,0,0,0,1,1,0
LSM12,9,13,6,30,6,16,14,11,22,8
CCDC43,31,37,27,118,44,46,59,58,51,36
CNTD1,0,1,3,0,0,0,0,0,1,0
RSKR,4,6,1,8,4,3,9,1,9,0
ANKRD13B,1,3,2,0,0,0,1,2,2,2
SLC43A2,0,2,1,0,0,0,2,0,1,0
CYB5D2,4,2,2,11,1,3,3,3,1,2
C17orf49,5,5,3,6,2,5,5,3,6,3
SPNS2,0,5,8,14,9,7,10,8,14,9
EFCAB13,0,0,0,0,0,0,1,1,0,0
MRPL10,13,24,29,32,38,26,35,22,32,11
WDR81,2,1,4,10,6,2,4,4,3,1
RN7SK,0,0,4,11,7,3,2,0,2,0
TBC1D16,4,4,11,17,16,13,15,18,21,14
AFMID,1,5,4,9,4,1,13,6,6,5
SNHG29,298,361,517,1103,509,381,513,355,507,269
ZSWIM7,5,3,7,4,3,3,4,2,5,2
MIEF2,2,3,1,4,2,2,3,1,4,0
FAM210A,30,27,29,66,25,25,42,37,32,21
INO80C,5,2,5,30,2,6,5,2,5,0
TTC39C,10,10,12,26,9,19,19,21,18,9
CLDND2,0,0,2,0,0,0,0,0,0,0
ZNF816,4,8,5,11,13,5,7,4,12,6
ZNF543,7,9,12,23,14,9,10,8,8,7
RAVER1,18,24,21,44,28,19,30,21,31,20
COX6B2,0,0,0,0,0,0,0,1,0,0
MICOS13,0,1,5,3,1,5,1,3,0,1
TRAPPC5,0,3,3,4,2,2,5,2,4,3
PCP2,0,0,0,0,0,0,0,0,0,0
OSCAR,2,1,6,4,3,6,9,8,4,4
SWSAP1,3,6,0,9,6,1,7,3,1,0
CCDC159,0,0,0,0,0,0,0,0,0,0
JOSD2,0,0,1,0,0,0,1,1,0,1
ALDH16A1,0,1,2,2,1,0,1,0,0,3
ZNF787,11,26,14,23,18,11,19,21,25,16
ZNF573,1,1,2,0,3,0,0,0,1,0
WDR88,0,0,0,0,0,0,0,0,0,0
EID2B,9,15,7,41,14,6,15,7,12,6
TNFAIP8L1,11,9,4,22,14,13,19,9,20,9
ZNF57,1,3,2,7,5,2,3,0,1,1
IRGQ,13,31,36,31,21,45,65,42,63,35
ZNF428,0,0,1,0,1,3,0,0,0,0
MOB3A,57,75,109,183,87,95,140,124,144,106
MFSD12,3,5,3,5,1,4,5,3,5,2
NDUFA11,4,4,3,12,10,6,4,0,6,10
LRRC25,0,1,3,10,0,0,1,2,1,0
ZNF792,2,4,2,2,6,6,3,2,1,2
NR2C2AP,17,13,12,29,23,13,16,14,21,8
RINL,3,8,11,11,5,2,4,3,9,4
C19orf47,7,9,13,16,6,3,4,5,9,7
ANKLE1,19,28,54,97,49,40,63,26,51,28
GABPB2,1,3,0,3,2,0,0,2,3,0
CCDC163,0,0,0,0,0,0,0,1,1,1
KDF1,0,0,0,0,0,0,0,0,0,0
CCSAP,62,49,37,119,35,59,62,43,72,42
PUSL1,0,2,1,2,1,1,3,0,5,2
B3GALT6,18,14,17,36,15,24,26,18,21,14
MAB21L3,0,1,0,1,0,0,1,0,1,0
IFFO2,2,1,0,5,4,4,5,8,2,7
H3C14,0,0,0,0,0,0,0,0,0,0
ATXN7L2,0,2,1,0,4,0,0,0,3,0
LYPLAL1,2,5,0,0,3,1,2,1,2,2
TYW3,51,67,62,164,69,80,73,65,96,45
TPRG1L,12,13,9,19,13,13,13,13,14,9
PRXL2B,2,2,2,1,0,0,6,4,1,0
ZNF684,8,6,0,23,1,1,9,5,8,2
TCEANC2,18,22,15,53,22,14,26,10,21,16
LRRC39,0,0,0,0,0,1,0,1,1,0
RNF19B,6,8,8,29,15,19,22,13,25,14
C1orf122,0,0,4,3,0,0,0,0,2,0
C1orf216,19,23,28,91,45,38,36,39,42,31
ARL8A,2,8,12,22,9,10,11,6,10,9
SYT2,0,0,0,0,0,0,0,0,0,0
UHMK1,94,120,81,308,103,118,146,121,146,87
FCRLB,0,0,0,0,0,0,0,0,0,0
C1orf131,7,11,26,45,31,29,24,23,34,9
LIX1L,5,8,8,14,9,8,12,5,15,7
EDARADD,21,37,57,105,44,52,44,46,61,26
TSACC,0,0,0,0,0,0,0,0,0,0
IQGAP3,4,2,1,11,2,5,8,5,10,12
NAXE,0,2,3,1,4,1,0,2,2,4
ARHGEF19,1,1,2,6,1,2,4,0,2,0
MRPL55,1,4,3,1,0,3,0,1,3,0
DRAM2,7,9,8,10,7,6,23,5,13,9
PIFO,0,0,0,0,0,0,0,0,0,0
C1orf162,3,4,15,30,3,11,17,15,10,5
TATDN3,5,3,3,15,8,6,6,8,7,1
FITM2,0,1,0,0,1,0,0,0,0,0
OCSTAMP,3,3,0,2,2,1,2,1,1,2
TBC1D20,36,52,58,105,57,36,56,48,68,45
SLX4IP,8,7,10,27,9,4,13,8,13,13
CHMP4B,6,11,8,27,21,10,14,7,15,5
PIGU,2,2,2,3,2,4,0,5,3,2
C22orf39,6,13,29,20,10,8,17,8,17,6
TANGO2,9,8,7,13,12,6,9,5,12,5
EMID1,0,1,1,0,0,0,0,1,0,1
ANKRD54,9,11,24,37,16,10,26,16,23,12
PPP1R21,0,4,2,2,2,4,3,0,3,0
TRABD2A,0,0,0,0,0,2,0,0,0,0
TMEM150A,2,1,0,0,1,2,2,1,1,3
NUP35,3,8,4,13,5,9,11,6,8,8
TYW5,33,36,19,59,35,30,25,34,38,15
LYG1,0,0,0,0,0,0,0,1,1,0
MITD1,1,0,0,4,2,4,0,1,2,0
DIS3L2,1,3,4,8,2,5,3,2,10,3
CMPK2,4,5,0,0,0,2,3,3,2,3
TAF8,9,18,17,44,11,16,26,19,23,12
TMEM18,15,11,16,57,9,16,21,11,23,8
129790,2,3,7,5,5,1,3,1,5,1
RBM45,3,1,2,7,3,6,3,1,2,0
BBS5,1,0,0,1,3,0,1,1,3,0
ICA1L,1,2,0,22,6,6,4,3,1,1
FAM168B,67,64,61,170,85,56,71,73,78,50
CLHC1,3,2,1,3,0,3,5,3,4,4
PLEKHH2,0,0,1,0,0,0,0,0,1,0
AP1S3,4,4,9,16,9,6,7,8,8,3
C2orf76,0,0,6,0,2,1,3,0,0,0
SGPP2,1,0,0,0,0,0,0,0,1,0
TTC32,1,1,0,2,0,3,7,0,2,0
UBR3,2,4,3,17,1,4,6,3,6,0
KCTD18,7,5,21,37,15,10,10,9,14,3
FLACC1,1,0,0,2,3,0,1,2,0,0
ZNF513,0,3,2,8,2,2,4,0,2,1
GALM,1,1,2,3,3,3,2,1,4,1
TMEM198,0,0,0,0,0,0,0,0,0,0
ZFAND2B,1,1,8,9,0,6,8,3,5,6
MDH1B,0,0,0,1,0,0,0,0,1,0
SLC66A3,6,5,11,4,5,4,7,0,8,7
TMEM182,0,0,2,11,1,2,5,2,7,0
AHSA2P,10,14,12,32,10,4,17,6,19,9
FBXO36,2,6,3,7,2,9,7,10,4,4
MTERF4,53,63,63,169,69,56,71,59,68,32
M1AP,0,0,0,0,0,0,0,0,0,0
CCDC58,2,4,6,6,3,0,3,1,8,4
DNAJC19,10,10,8,13,6,6,5,5,8,2
TRIM71,0,0,0,0,0,1,5,0,0,1
FAM131A,1,4,4,9,4,3,1,1,3,3
CHCHD4,33,26,35,69,30,40,41,33,44,25
CRYBG3,8,11,2,22,9,15,20,12,14,11
DCBLD2,5,8,11,11,7,11,12,6,15,5
FAM43A,4,3,1,10,6,4,9,2,1,1
TPRA1,3,6,11,13,4,4,8,15,11,10
TMEM42,0,2,2,9,3,3,0,1,3,4
NUDT16,20,15,18,33,13,14,19,14,23,9
METTL6,6,6,10,11,6,5,6,6,7,1
TAMM41,3,3,3,16,5,3,6,4,9,2
IL17RE,0,0,0,0,1,0,0,0,0,0
GLYCTK,1,3,1,6,1,2,0,1,0,4
PPM1M,0,0,0,0,0,0,1,0,1,0
LSMEM2,0,0,0,0,0,0,0,0,0,0
132241,15,22,26,71,22,17,30,22,30,16
SCLT1,2,5,3,14,9,4,5,7,3,4
C4orf33,1,0,3,3,2,1,3,1,3,2
LIN54,98,75,64,213,74,86,80,82,115,67
SPATA18,0,0,0,0,0,0,0,0,0,0
FAM241A,4,6,3,13,7,4,4,6,4,4
GNPDA2,14,9,13,21,20,15,16,11,17,13
CPEB2,66,73,63,198,69,84,110,79,118,58
AASDH,3,1,6,9,4,1,8,4,4,2
C4orf36,0,0,0,10,0,0,0,0,0,0
PACRGL,2,3,5,15,6,4,5,3,4,3
SLC9B2,0,1,2,5,0,4,3,0,4,2
