,MOLM-13_DMSO_rep-1_exp-2,MOLM-13_DMSO_rep-2_exp-2,MOLM-13_DMSO_rep-3_exp-2,MOLM-13_JQ1_rep-1_exp-2,MOLM-13_JQ1_rep-2_exp-2,MOLM-13_JQ1_rep-3_exp-2,MOLM-13_6nM_NVP-2_rep-1_exp-2,MOLM-13_6nM_NVP-2_rep-2_exp-2,MOLM-13_6nM_NVP-2_rep-3_exp-2,MOLM-13_60nM_NVP-2_rep-1_exp-2,MOLM-13_60nM_NVP-2_rep-2_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-1_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-2_exp-2,MOLM-13_JQ1+6nM_NVP-2_rep-3_exp-2
KRTCAP2,3,3,1,0,3,0,0,0,0,0,0,0,0,0
CRTC2,13,2,4,12,9,9,0,2,8,0,0,0,5,0
IBA57,25,15,14,16,18,25,2,6,2,0,3,9,6,3
LINC00528,27,13,7,11,7,10,10,6,24,0,0,0,3,0
APOBEC3F,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ALMS1P1,0,3,0,2,4,2,0,0,0,0,0,9,0,0
TET3,20,33,21,4,2,7,5,0,4,5,4,3,3,3
ANKRD23,0,0,0,2,0,0,0,0,0,0,0,0,0,0
PIKFYVE,4,14,15,7,16,15,8,3,12,12,11,0,3,3
KRTCAP3,0,0,0,0,9,0,0,0,0,0,0,1,0,0
TMEM17,2,0,0,0,0,0,0,0,4,0,0,0,0,0
SPRED2,6,3,4,0,5,1,12,1,0,2,4,8,12,0
TIGD1,0,3,1,5,0,1,0,0,1,0,0,0,0,0
KCTD6,1,0,0,4,1,0,0,0,0,0,0,0,0,0
ARL13B,0,0,0,2,0,0,0,0,0,0,0,0,0,0
DHFR2,31,16,0,9,1,9,0,9,5,0,0,1,3,9
RPL22L1,186,126,129,211,187,229,119,55,195,1,7,101,56,20
FBXO45,94,88,98,108,49,111,31,21,93,2,8,43,4,2
KLHDC8B,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TVP23C,0,0,3,5,0,0,0,2,0,0,0,0,0,0
CENPV,62,33,82,18,15,45,54,36,40,9,10,33,15,29
FLCN,38,18,17,9,7,23,9,19,50,2,2,14,6,5
PLD6,40,31,23,12,9,16,10,18,31,1,1,4,6,0
ARHGAP27,13,19,8,6,5,1,12,0,0,2,0,0,0,0
CENPX,5,14,1,1,2,0,4,0,0,0,0,0,0,7
LRRC45,0,4,0,0,0,0,0,0,1,0,0,0,0,0
SLC39A11,82,37,68,120,46,72,41,47,62,14,11,75,55,40
AMZ2P1,4,1,0,0,3,0,0,0,0,0,0,0,0,0
TRIM65,70,34,31,14,20,28,13,28,10,2,3,2,4,4
UNC13D,4,0,0,0,0,1,0,1,0,0,0,0,1,0
RDM1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
SPNS3,4,0,1,2,4,11,2,11,9,0,1,2,3,3
FBXO15,0,3,3,0,0,0,0,0,3,0,0,0,0,0
RAB12,87,91,33,99,33,65,31,16,38,7,8,36,27,37
ZNF584,18,28,16,12,7,16,17,23,12,0,0,0,2,0
STT3B,29,23,28,16,22,35,8,9,26,7,2,0,5,0
PDE12,13,12,9,7,12,13,2,1,13,0,0,10,2,0
DENND6A,9,3,8,7,16,8,0,0,3,5,2,1,0,5
C4orf46,35,37,29,24,35,45,24,3,38,0,1,10,1,3
TMEM154,4,10,1,11,0,0,3,0,1,0,9,0,0,0
LINC00504,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SMIM14,11,4,3,17,8,6,2,0,1,0,0,3,1,2
TMEM192,33,30,16,33,9,22,19,11,6,8,0,17,11,6
RWDD4,20,13,12,11,7,14,0,4,6,2,0,0,0,1
PRIMPOL,0,0,1,2,0,2,0,0,0,0,0,0,0,0
TAPT1,24,26,32,27,8,21,63,22,36,14,10,5,13,5
DNAJC18,4,3,0,4,0,11,0,0,0,0,0,0,0,0
202181,0,0,0,0,0,1,0,2,0,0,0,0,4,0
CCDC125,3,3,4,0,1,2,0,1,12,0,0,1,0,0
GAPT,2,1,5,0,0,2,0,0,0,0,0,0,0,0
OSTCP1,0,1,0,0,3,0,0,0,0,0,0,0,0,0
TRIM39-RPP21,5,4,12,24,2,12,0,8,4,0,0,2,2,0
PAXIP1-AS1,19,11,12,14,9,7,5,4,1,0,0,0,3,6
TMEM184A,0,4,0,1,2,0,3,0,0,0,0,0,0,0
ADCK5,4,0,1,7,1,1,0,3,0,0,0,0,0,0
TSNARE1,3,3,8,1,2,6,0,0,0,0,0,0,1,0
TUBB,577,524,396,434,250,467,299,316,452,38,54,194,115,143
R3HCC1,16,9,2,6,1,3,2,0,6,0,1,0,0,0
TMEM268,9,6,8,3,2,0,4,0,0,0,0,0,0,0
C9orf72,0,0,1,0,3,1,0,0,7,0,0,0,0,0
NAIF1,58,25,15,12,17,11,10,9,21,0,0,6,6,8
FAM219A,1,4,6,2,2,0,4,0,3,0,0,5,11,1
CCDC107,6,5,5,3,2,13,0,0,1,0,0,2,0,0
ANKS6,0,0,3,0,3,1,0,0,5,0,0,0,0,0
SUSD3,8,1,8,3,1,0,0,3,4,0,0,0,0,1
SLC25A43,0,0,0,0,0,4,0,0,0,0,0,0,0,0
INTS6L,7,0,11,4,12,14,6,1,0,0,5,6,9,0
ZNF449,0,0,5,2,1,0,0,0,0,0,0,0,0,0
VMA21,104,105,83,47,36,51,88,50,127,11,10,54,39,15
ANO5,5,4,0,2,3,0,0,0,2,0,0,0,0,0
NLRP11,4,0,0,0,0,0,0,0,0,0,0,0,0,0
HIPK1,45,20,15,54,31,28,21,25,38,2,14,14,14,3
MTLN,41,4,11,19,3,7,7,3,42,0,0,0,8,1
C2orf69,128,133,71,87,66,92,49,78,97,8,8,56,42,20
DIPK2A,33,32,13,47,12,25,3,0,9,3,2,0,14,0
SENP5,7,7,6,7,8,17,9,3,4,0,0,9,0,0
USF3,25,27,24,16,13,12,16,11,30,4,2,4,1,0
SLC36A1,13,4,7,10,1,7,5,7,19,5,11,1,2,0
DHRSX,1,0,1,0,3,0,0,0,0,0,0,2,0,0
ATAD3C,0,0,1,0,0,0,0,0,0,0,0,0,0,0
USP12,42,56,33,53,20,17,5,12,45,8,11,17,21,1
MTIF3,5,1,2,0,1,10,8,4,9,0,0,0,0,0
MED19,60,35,39,56,14,48,11,23,71,5,23,15,16,26
ZCCHC24,12,4,0,10,13,27,0,9,1,0,1,27,10,0
TYSND1,11,6,3,21,1,9,2,4,15,0,0,0,4,0
ZNF25,3,3,0,11,1,6,2,0,4,0,6,0,0,0
CCNY,36,27,27,31,32,49,23,23,33,14,26,20,49,22
HYLS1,24,27,8,17,11,12,8,11,21,0,0,4,0,0
TMEM218,13,14,13,2,0,9,15,3,22,0,0,0,0,0
SLC37A2,0,4,2,0,2,0,0,0,4,0,0,0,0,0
TBCEL,1,3,0,1,0,4,0,1,4,3,1,4,0,0
TLCD5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
MRPL21,25,11,4,8,0,2,2,6,15,0,0,2,2,0
TPCN2,15,5,13,9,4,0,5,2,0,5,0,0,0,0
MPEG1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PATL1,45,16,12,30,18,9,4,7,6,1,2,7,10,4
VWCE,0,0,2,0,1,0,7,5,0,0,0,0,0,0
CYB561A3,1,6,2,26,5,14,0,5,0,0,0,0,0,0
DDIAS,6,3,17,1,9,11,4,0,10,0,3,12,1,5
LTO1,89,49,63,81,29,103,30,8,90,12,7,85,19,29
DLEU7,0,3,0,0,0,0,0,0,0,0,0,0,0,0
FAM124A,20,3,0,0,0,0,0,0,5,0,0,0,0,0
SKA1,10,12,9,7,2,13,0,3,1,0,0,3,0,6
OTUD1,10,4,4,2,1,8,0,0,1,0,0,3,0,0
OAF,55,53,38,41,32,26,15,27,82,2,0,5,3,10
TIGD3,2,1,0,0,5,7,7,0,0,0,0,0,0,0
CTAGE10P,0,0,0,0,0,0,3,0,0,0,0,0,0,0
USP32P2,8,7,3,4,9,2,4,7,15,1,10,8,6,0
220729,0,0,0,0,0,0,0,6,0,0,0,0,0,0
FABP5P3,5,9,7,21,6,5,9,0,0,0,0,0,1,4
CBWD5,17,19,4,1,11,5,4,1,5,0,4,6,5,0
WAC-AS1,26,48,48,67,34,61,5,57,33,0,0,14,21,0
ZNF438,28,17,17,11,10,24,1,3,14,2,1,14,8,10
MARCHF8,14,4,7,7,3,1,0,3,5,4,9,0,2,1
C10orf25,5,3,0,0,0,0,0,0,5,0,0,0,0,0
HNRNPA3,214,132,151,149,82,143,48,23,152,10,12,50,25,40
ZNF485,0,1,0,0,0,2,1,0,0,0,0,0,0,0
REEP3,34,19,7,41,10,35,5,13,26,4,18,23,22,2
JMJD1C,140,218,138,149,114,204,91,38,170,28,41,90,38,34
NSUN6,0,0,3,0,3,0,0,0,0,0,0,0,0,0
ARL5B,5,0,4,0,0,4,0,5,4,0,0,0,6,0
LRRN4CL,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HNRNPUL2,40,29,10,45,6,38,12,11,33,7,4,21,6,8
ALKBH3,37,2,24,22,3,12,12,3,3,0,0,6,0,1
EEF1AKMT1,6,3,0,14,11,8,3,1,5,0,0,10,0,1
SKA3,29,17,12,35,14,13,4,5,7,0,0,5,12,7
MICU2,4,0,4,13,3,11,0,0,3,1,2,17,12,0
SPATA13,8,6,5,7,11,0,1,0,3,7,0,0,3,1
CPNE2,7,2,1,8,1,4,0,7,10,1,3,0,0,1
ADGRG5,5,0,0,0,1,0,0,2,0,1,0,0,0,0
AK9,0,0,0,0,3,0,0,0,0,0,0,0,0,0
NT5DC1,7,3,3,4,4,0,0,0,0,1,3,0,1,0
ZUP1,7,5,5,3,2,5,12,1,0,0,2,0,2,0
TBC1D32,0,0,0,0,0,2,0,0,0,0,0,0,0,0
BEND6,0,10,0,2,7,0,0,0,5,2,0,4,1,0
OARD1,35,6,19,12,13,16,7,0,29,0,0,4,2,5
TMEM217,2,3,8,2,2,0,0,0,0,0,0,6,0,0
FGD2,0,0,0,0,0,3,0,0,0,0,0,0,0,0
C6orf89,19,39,20,57,21,49,43,9,30,7,9,40,24,12
SMIM29,19,10,10,12,22,27,7,10,9,0,0,3,5,0
LEMD2,12,8,6,6,0,2,0,11,8,3,0,2,4,2
ZBTB9,34,43,15,21,12,35,4,11,25,0,0,9,0,0
C6orf136,29,12,6,13,8,7,6,15,22,0,3,3,2,1
KDM1B,8,2,1,0,0,3,1,0,1,0,0,0,4,2
PHACTR1,5,0,1,0,0,0,0,1,0,0,0,0,0,0
SMIM13,21,14,26,7,3,19,18,15,23,3,1,7,9,9
SYCP2L,3,3,2,9,3,17,0,3,0,0,0,1,0,1
ZSCAN25,14,9,16,14,5,10,3,2,17,0,0,2,1,1
FAM200A,0,7,0,5,0,5,0,1,0,0,1,0,0,0
TWISTNB,33,19,22,23,3,6,4,6,4,0,0,2,0,0
HOXA11-AS,15,7,18,23,13,24,11,8,5,1,0,5,21,1
JAZF1,2,4,0,1,0,0,0,0,0,0,0,0,0,3
PPP1R35,39,29,27,25,7,24,23,22,43,0,0,9,5,0
BRAT1,13,18,9,21,11,24,12,7,27,4,1,2,4,3
FOXK1,68,45,52,48,25,72,26,18,58,25,43,36,29,22
DAGLB,11,10,4,22,2,11,0,2,0,0,0,1,0,2
THSD7A,1,0,7,0,0,3,0,0,0,0,0,0,0,0
TMED4,11,0,9,15,4,10,6,13,17,0,0,0,5,0
MTURN,6,5,5,2,0,0,1,0,0,0,0,0,0,0
RSBN1L,2,9,6,11,2,6,0,2,0,0,0,0,0,1
LRWD1,0,1,0,0,0,8,5,0,2,0,0,0,0,0
FAM185A,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FBXL13,0,1,3,5,1,3,13,0,0,1,1,0,0,5
NAPEPLD,6,5,7,6,2,11,5,0,6,0,0,0,11,2
ATXN7L1,58,15,25,35,16,18,10,7,15,27,9,11,16,14
LNX2,19,5,12,6,10,23,10,8,35,7,1,8,6,3
SLC35F1,4,5,4,1,3,2,0,0,6,0,0,1,2,0
UNC5CL,0,1,0,5,3,1,0,0,0,0,0,0,0,0
KCTD20,10,12,14,9,6,4,0,2,11,1,0,5,6,3
TOB2P1,0,4,0,2,2,5,0,0,3,0,0,0,0,0
TMEM130,0,1,0,0,0,2,0,0,0,0,0,0,0,0
RPL23P8,4,1,1,2,1,0,3,0,2,0,0,0,0,0
ZNRF2,1,5,4,0,0,1,0,0,3,0,0,0,0,0
CNPY4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
ATP6V1C2,0,0,0,0,0,0,0,0,0,0,4,4,0,0
CNOT6L,239,190,135,126,99,137,119,67,163,69,68,107,88,27
AKR7L,15,12,20,20,6,13,17,9,9,0,4,0,1,0
CDC26,1,1,18,0,1,2,2,0,0,0,0,0,0,0
RNASEH1,55,71,11,55,23,49,46,24,88,3,5,16,29,19
AFG1L,0,9,6,0,4,15,0,1,7,0,0,0,0,0
STAC3,6,7,8,4,1,2,4,5,0,0,0,1,0,1
POLR2J2,7,3,0,5,2,7,2,5,0,0,0,0,0,0
246754,0,8,0,10,1,0,0,0,12,0,0,0,0,0
TMEM9,6,8,10,0,1,2,5,0,20,0,0,0,0,0
ZNF396,0,0,0,0,1,0,0,0,0,0,3,0,0,0
NEIL2,11,9,18,9,14,5,29,6,19,0,0,0,4,1
STXBP4,0,6,0,2,2,5,2,0,3,1,1,4,0,0
HCG27,0,0,1,9,2,0,8,2,4,0,0,6,7,0
CUTALP,10,16,5,18,11,12,5,3,4,0,0,6,2,4
PRR14L,34,31,16,25,14,54,3,11,20,12,18,21,31,4
RICTOR,43,45,16,44,13,33,41,15,40,25,15,30,38,22
IPMK,58,24,41,24,39,38,50,24,27,20,16,20,16,21
ZBTB38,7,3,7,7,0,0,5,0,2,0,0,0,0,0
SLC25A30,10,8,10,8,7,12,9,2,30,5,6,0,7,1
LCLAT1,4,8,7,10,2,14,3,0,7,3,3,11,10,3
GPATCH11,20,9,1,14,12,13,1,6,5,0,0,0,6,3
ZNF620,4,0,0,0,0,0,2,0,0,0,0,0,0,0
MMS22L,6,5,5,20,9,17,10,2,11,12,11,9,21,4
WASHC2C,8,4,0,2,2,3,5,0,5,1,5,0,0,0
EBF3,0,0,3,0,0,2,0,0,8,0,3,13,0,0
WDR27,2,0,3,6,6,5,0,2,8,0,0,0,0,0
CERS6,52,29,53,44,47,48,30,23,35,7,21,55,56,39
MSRB3,1,1,0,9,12,6,6,0,7,0,0,0,1,2
ZDHHC20,30,28,8,10,16,11,0,1,25,4,1,4,19,7
YTHDF3,318,289,296,309,206,207,198,164,347,14,24,161,113,82
RALGAPA1,30,13,8,20,9,26,10,7,28,4,4,8,25,9
KCTD13,8,0,6,1,3,4,6,0,0,0,6,0,2,0
ASPHD1,1,0,0,0,0,1,0,3,0,0,0,0,0,1
ETFBKMT,4,0,0,7,0,0,0,0,0,0,0,0,0,0
METAP1D,0,0,0,0,3,3,0,0,0,0,0,0,0,0
UBN2,39,32,17,31,15,27,12,16,16,14,12,8,3,8
BRWD3,6,8,13,2,4,3,3,11,12,5,2,5,2,12
EHBP1L1,0,1,0,0,0,1,0,1,0,0,2,0,0,0
NIFK-AS1,20,9,11,17,21,16,3,6,0,0,0,0,0,2
FBXO33,43,35,32,53,34,77,26,19,16,0,0,15,19,9
RNF169,45,76,40,9,21,13,32,17,44,2,0,7,6,1
LCORL,44,36,22,39,18,23,17,25,56,11,39,45,18,27
ZDHHC24,0,0,0,0,1,0,0,0,3,0,0,0,0,0
MCM9,11,3,7,0,1,3,2,0,4,0,0,1,0,1
PROSER2,41,30,31,17,25,36,12,3,22,1,0,5,0,3
SLC41A1,16,1,0,2,1,8,11,1,0,1,1,3,0,0
MEIOB,6,4,4,0,4,2,0,7,4,0,0,4,0,8
LPCAT4,10,1,4,0,0,1,0,0,0,1,0,0,0,0
NUDT8,4,0,3,0,1,2,7,2,5,0,0,0,0,0
MIR9-3HG,12,13,10,17,2,6,0,9,7,0,0,6,0,2
TMEM256,4,5,0,11,1,4,0,6,5,0,0,1,0,0
ZDHHC23,0,0,5,0,0,0,0,0,0,0,0,0,0,0
TMEM86B,2,8,2,2,8,7,16,0,10,0,0,0,0,0
TMCO4,0,2,4,2,0,1,0,0,7,0,0,0,2,0
MCOLN2,11,9,12,13,1,9,4,6,13,0,4,0,4,0
LRRC57,11,0,6,0,0,1,8,0,1,0,0,0,0,0
MBLAC1,0,0,2,0,3,0,0,0,0,0,0,0,0,0
ZNF718,1,0,2,0,0,0,0,0,0,0,0,0,0,0
TOLLIP-AS1,2,5,0,0,1,2,0,4,0,0,0,0,0,0
ELMOD2,6,5,10,18,1,7,3,0,0,0,0,0,0,0
INAFM1,8,0,0,0,0,7,0,0,5,0,0,0,0,0
C19orf38,0,0,3,0,0,0,0,0,3,0,0,0,0,0
SDHAP1,9,2,3,5,0,8,0,0,4,0,0,0,1,0
CNEP1R1,10,2,1,0,0,8,0,0,4,0,0,0,7,0
PAN3,66,54,57,47,46,58,81,42,116,7,10,11,29,28
ZNF549,9,2,6,12,13,8,6,1,2,0,0,2,3,0
CDRT15L2,2,0,0,0,0,0,0,0,3,0,0,0,0,0
NAPSB,9,11,1,3,4,7,4,1,25,0,1,0,0,2
NATD1,3,2,0,0,0,0,0,0,0,0,0,0,0,0
RPS2P32,0,2,4,8,3,3,0,0,7,0,0,0,0,0
GK5,5,1,4,3,1,11,11,0,1,1,0,7,0,2
EML3,0,0,0,0,2,3,0,0,5,0,0,0,0,0
ST6GALNAC3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MFSD8,11,23,11,4,13,12,17,13,12,6,12,2,4,0
LYSMD2,7,5,9,0,6,4,2,0,12,0,0,0,0,0
BCLAF3,15,9,7,7,0,5,4,9,0,4,2,3,5,2
SERINC5,27,9,2,1,4,0,1,2,2,6,4,13,8,0
FRMD3,19,3,6,9,3,9,6,2,3,6,4,21,0,6
ARHGAP30,16,8,2,0,2,2,0,9,0,0,0,0,0,8
RNF214,0,2,0,3,0,0,0,3,0,3,0,0,0,0
CCDC96,0,0,0,0,5,2,3,0,0,0,0,0,0,0
SNX33,6,1,8,7,0,0,0,5,0,0,0,0,0,0
257396,0,1,2,0,0,0,0,0,0,0,0,0,0,0
TAB3,0,0,4,0,3,0,0,2,0,0,0,7,0,0
FAM133B,61,53,47,39,26,32,33,8,37,3,0,24,24,17
SGMS1,17,3,2,2,7,6,0,3,0,0,2,0,5,0
ASPM,12,20,8,15,20,12,5,14,2,7,0,29,13,1
BOD1L1,9,5,11,23,9,11,5,9,11,4,6,2,0,3
TAS2R20,0,0,4,0,1,8,1,0,0,5,0,13,0,0
IL4I1,4,6,1,4,0,0,5,0,0,0,0,0,0,2
NSUN5P2,13,9,4,19,3,17,5,6,19,0,0,1,0,1
MAGI3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
TIPRL,29,50,31,54,21,35,13,9,38,1,5,5,14,1
NPHP4,6,1,7,0,1,2,0,0,2,0,0,0,0,3
NAP1L5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PIPSL,3,0,6,6,1,1,2,2,4,0,0,0,0,2
PGBD2,10,11,2,5,7,6,4,8,5,0,0,3,1,0
PGBD3,4,3,4,2,0,2,0,0,0,0,0,0,0,0
RNU12,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ATP5MGL,10,5,7,0,8,6,2,0,1,0,0,1,0,0
SELENOH,13,16,26,19,18,19,20,14,18,0,0,0,8,11
POC1B,7,3,4,1,6,2,7,0,0,3,7,0,1,0
ZNF311,0,0,5,14,0,0,1,0,0,0,0,0,0,0
FUOM,1,1,0,0,0,0,0,0,0,0,0,0,0,0
STK32C,108,78,63,68,38,63,70,97,78,1,3,10,16,14
BLOC1S2,59,47,22,79,30,58,12,3,34,1,4,12,11,8
PDCD4-AS1,0,3,0,3,0,2,0,0,0,0,0,0,0,0
SBF2-AS1,9,4,0,0,1,3,0,0,3,0,0,0,0,0
LINC00900,0,3,0,0,0,3,0,0,0,0,0,0,0,0
BCL9L,15,13,3,4,2,1,4,0,6,1,7,7,0,0
MIR4697HG,0,0,0,0,0,0,0,0,0,0,0,0,8,0
PGM2L1,24,14,14,21,19,21,7,4,27,3,3,3,1,5
KLHL35,0,0,0,2,0,0,0,0,0,0,0,0,0,0
KCTD21,0,0,1,0,1,0,0,0,0,0,0,0,3,0
TMEM80,2,4,1,0,6,2,7,0,4,0,0,0,0,0
CCDC88B,0,1,0,0,2,3,0,0,1,0,0,0,0,0
TTC9C,5,10,4,2,3,1,0,4,5,0,1,0,0,0
RCOR2,9,1,1,1,2,11,0,0,0,0,0,4,0,5
HARBI1,0,1,0,0,0,2,0,0,0,0,0,0,0,0
C1RL-AS1,6,2,2,0,0,3,0,7,0,0,0,0,0,0
ZNF740,106,51,56,97,34,115,49,29,48,5,4,21,23,27
RASSF3,23,10,26,12,22,13,3,3,12,0,1,7,1,7
ANKRD52,7,0,8,3,1,5,3,0,0,0,5,3,1,0
SPRYD4,30,14,40,14,7,10,2,9,17,0,0,0,3,6
TRHDE-AS1,20,19,3,0,7,5,3,13,0,0,0,0,1,0
GAS2L3,6,0,3,5,2,4,2,7,2,4,0,0,0,0
HECTD4,0,0,5,6,10,13,3,0,0,0,0,5,0,0
GATC,56,38,28,24,10,39,10,12,12,11,6,44,23,15
MUC19,0,1,0,0,0,0,0,0,0,0,1,0,0,0
GXYLT1,26,27,36,24,19,22,5,15,10,5,6,3,0,3
FGF14-AS2,9,1,3,0,0,5,3,4,8,0,0,0,0,0
CHAMP1,35,31,17,64,13,19,19,1,5,2,8,6,9,1
KCNRG,0,0,2,12,0,4,4,0,6,7,3,2,0,0
SLC46A3,0,5,14,1,1,9,0,0,0,0,0,0,2,0
LINC01588,5,0,7,0,3,1,0,1,7,0,0,4,10,0
TMED8,41,42,45,19,22,30,37,12,92,5,14,17,15,10
SNHG10,4,10,6,3,8,4,5,4,6,0,0,0,3,0
LINC00641,13,9,7,27,28,20,2,7,17,0,6,20,26,1
CEP170B,0,4,4,0,4,8,0,0,8,7,5,4,0,0
TEDC1,0,4,2,8,5,4,2,6,3,0,0,0,0,0
LINC00926,212,125,104,17,4,30,115,219,150,14,19,5,16,3
283683,52,44,48,36,35,62,17,23,49,12,6,58,11,8
FAM98B,3,7,17,5,1,8,10,5,5,0,0,0,1,0
HERC2P3,10,5,3,8,0,1,5,2,7,0,0,0,0,0
GOLGA8IP,17,16,7,35,10,33,12,11,8,0,0,2,2,7
NPW,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BRICD5,0,2,2,0,0,0,0,0,0,0,0,0,5,0
PGP,9,15,13,34,0,4,1,1,9,0,0,0,0,0
C16orf54,45,25,16,21,5,11,5,1,47,0,0,1,0,1
INO80E,23,4,13,2,0,17,2,6,5,0,0,0,0,0
NUDT7,4,6,5,8,0,7,0,0,4,0,1,5,0,0
FBXL19-AS1,8,3,4,2,0,3,5,4,15,0,0,0,0,2
NHLRC4,0,1,0,0,1,0,0,0,0,0,0,0,0,0
C16orf91,17,9,21,18,22,27,7,1,19,0,0,18,4,5
283970,5,0,0,0,3,1,0,0,3,0,0,0,0,0
TSEN54,0,3,12,7,1,12,0,13,1,4,2,8,0,1
UBALD2,143,90,117,150,94,157,85,36,114,0,11,49,31,27
CCDC57,0,1,0,5,0,0,0,0,0,0,0,0,3,0
C17orf58,51,35,22,12,16,29,23,8,41,0,0,0,0,0
MILR1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
RNF227,3,6,4,0,1,1,6,0,6,0,0,0,0,0
LINC00324,4,24,10,23,5,21,15,6,34,14,20,5,16,3
CDRT4,2,0,0,0,1,7,0,0,5,0,0,0,0,0
CCDC144B,27,18,16,24,11,19,8,5,14,2,2,3,1,1
KANSL1,83,39,41,63,47,46,24,43,55,51,53,39,24,17
FAM171A2,0,0,0,4,1,0,0,0,0,0,0,0,0,0
MEIOC,8,0,3,1,0,0,0,0,0,0,0,0,0,0
NEK8,0,0,0,3,3,0,2,0,0,0,0,0,3,0
PIGW,256,179,191,223,106,150,93,88,219,12,11,114,75,48
CISD3,2,1,5,5,3,0,0,0,0,0,0,0,0,0
TMEM102,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CAVIN1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENDOV,5,2,0,0,0,3,0,0,0,0,2,3,0,2
GDPD1,0,0,3,0,0,1,0,2,0,0,0,8,0,0
NDUFAF8,85,79,52,49,27,29,28,24,69,0,2,4,8,3
LINC00482,0,3,0,0,0,0,0,11,0,0,5,8,0,0
TMEM105,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD20A9P,6,0,0,0,1,4,0,0,0,0,0,2,0,0
KCTD1,2,0,0,0,0,0,0,0,2,0,3,11,0,4
ZADH2,66,55,44,56,45,43,46,17,50,2,3,4,4,11
LINC00908,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ZNF547,0,1,0,0,1,4,7,0,0,0,0,0,7,1
ZNF776,18,10,8,7,6,14,8,5,10,0,0,8,0,0
ZNF780A,4,9,8,1,0,0,0,0,5,2,0,0,0,0
C19orf54,3,1,0,2,0,0,0,0,4,0,0,0,2,0
PRR19,1,4,0,0,0,0,0,0,0,0,0,0,0,0
ZNF575,0,0,4,3,1,4,3,4,6,0,0,0,0,0
ZNF283,2,7,0,1,0,0,0,0,4,0,0,0,0,0
PPP1R37,10,10,3,7,7,11,4,10,1,0,0,3,5,4
EMC10,0,5,7,11,5,4,1,0,6,0,0,9,0,1
ZNF561-AS1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF763,2,0,3,7,2,2,0,0,0,1,0,5,0,0
WDR62,10,2,17,20,3,17,18,3,5,6,0,9,7,2
ZFP82,0,0,0,0,0,0,0,0,2,0,0,0,0,0
284412,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SMIM24,0,0,0,4,0,0,0,0,0,0,0,0,0,0
NWD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SLC25A42,6,3,4,6,2,4,0,10,1,0,3,6,4,5
LINC00663,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ZNF493,8,8,15,0,3,3,4,0,0,0,0,0,0,0
284454,190,178,133,183,83,193,128,132,185,2,11,24,27,20
ZNF875,1,6,10,1,3,2,2,0,4,0,2,0,3,3
FAM102B,0,0,0,1,0,1,0,0,0,0,0,0,0,0
CYB561D1,20,15,16,30,5,9,0,15,6,0,0,3,15,0
ANKRD34A,0,3,0,0,0,0,0,0,0,0,0,0,0,0
LINC01686,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ZNF326,42,26,35,39,23,59,9,4,47,0,10,9,15,11
C20orf197,11,6,6,0,2,0,2,1,10,0,0,0,0,0
MIR646HG,0,0,0,0,0,0,3,0,0,0,0,0,0,0
SIRPB2,0,0,0,0,0,2,11,0,0,0,0,0,0,0
AATBC,1,1,0,4,0,0,0,0,0,0,0,0,0,0
TTC28-AS1,1,11,0,6,0,0,1,0,13,0,0,0,3,2
CCDC150,0,2,2,0,0,2,0,0,0,0,0,0,0,0
RNF149,12,11,10,8,6,3,0,3,5,0,1,1,8,0
285074,17,14,9,10,9,9,1,0,12,0,0,7,0,0
AHCTF1P1,27,34,15,14,10,15,10,4,22,12,11,9,7,13
IAH1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM126B,27,14,12,20,19,35,9,15,13,15,14,5,7,7
UNC80,0,1,5,5,0,2,0,0,0,0,0,0,0,0
RUFY4,0,0,4,0,0,0,0,2,0,0,0,0,0,0
DUSP28,0,0,0,2,1,1,0,0,0,0,0,0,0,0
EOGT,1,2,1,0,0,3,5,2,0,1,5,0,0,0
C3orf38,33,16,27,33,7,20,16,9,17,0,1,25,0,0
