KO,AAVS1,,,,MEIS1,,,
gene_id,mr351-MV411-DMSO-r1,mr352-MV411-DMSO-r2,mr353-MV411-DMSO-r3,mr354-MV411-DMSO-r4,mr355-MV411-72h_MEIS1-r1,mr356-MV411-72h_MEIS1-r2,mr357-MV411-72h_MEIS1-r3,mr358-MV411-72h_MEIS1-r4
EEF1A1P13,25.55,40.04,32.79,30.27,15.2,16.11,16.21,43.32
EEF1A1P14,1,0,0,1,0,0,2,0
EEF1A1P16,0,0,1,0,0,0,1,1.93
EEF1A1P17,1,1,1,0,1,0,0,0
EEF1A1P19,8.08,17.91,17.23,9.2,12.16,8.05,9.03,15.41
EEF1A1P22,2,1,1,1,2,0,0,0
EEF1A1P24,0,1,1,0,0,1,3,0
EEF1A1P25,1,0,0,1,1,0,1,0
EEF1A1P29,0,0,1,1,0,0,0,1
EEF1A1P3,4,10,17,3,7,9,13,21
EEF1A1P30,4,2,4,4,3,6,3,8
EEF1A1P32,0,0,0,0,0,0,0,1
EEF1A1P33,0,0,1,0,0,0,0,0
EEF1A1P38,0,0,0,1,0,0,0,0
EEF1A1P4,4,3,4.02,3,1,3,2,6
EEF1A1P5,1377.5,2277.6,2061.1,1662.1,1088.1,1065.9,1307.4,2416.4
EEF1A1P6,235.21,469.03,425.71,251.11,159.43,195.04,264.12,435.9
EEF1A1P7,0,1,2,0,0,0,1,0
EEF1A1P8,1,1,1,0,0,0,1,1
EEF1A1P9,11,6.18,13.55,4,3.03,3.99,4.06,4
EEF1A2,1280,2111,2241,1528,1159,971,926,2058
EEF1AKMT1,168,258,314,219,170,158,179,390
EEF1AKMT2,299.52,459.24,522.19,424.84,323.97,355.07,327.71,643.77
EEF1AKMT3,171,240.71,242.52,194.55,122.24,123.43,119,260.55
EEF1AKMT4,138.77,303.88,221.93,122.66,139.98,116.82,94.97,221.58
EEF1AKNMT,832,1349,1349,889,778,674,662,1516
EEF1B2,9012.7,16050,16994,11383,9123.9,7968,8011.5,17818
EEF1B2P1,0,0,0,1,0,0,1,0
EEF1B2P3,49.74,95.81,100.68,58.94,38.3,35.01,46.53,94
EEF1B2P6,5.02,10.67,10.36,13.04,12.51,7.02,5.02,16.46
EEF1B2P7,0,1,0,2,0,0,0,0
EEF1D,3835.3,7333.6,6969.3,4680.5,3934.2,3395,3484.7,7080.9
EEF1DP1,3,12,4,2,0,6,4,1
EEF1DP2,6,9.56,7,2,2.75,1,0,1.77
EEF1DP3,0,0,0,1,0,0,0,0
EEF1DP4,0,0,1,0,0,0,0,1
EEF1DP7,0,0,1,0,1,2,1,0
EEF1E1,397,700,776,541,486,399,395,899
EEF1E1P1,0,0,1,0,2,0,0,1
EEF1G,36233,63206,64003,44231,33146,30627,30660,63828
EEF1GP1,1,0,0,0,0,0,0,0
EEF1GP5,1,0,1,0,0,0,0,1
EEF2,91815,168170,156000,105130,76589,64408,67365,137850
EEF2K,1210.3,1894.8,1805.9,1380.4,1366.1,1300.9,1193.1,2622.6
EEF2KMT,183.34,381.51,276.65,191.15,180.41,146.23,156.41,319.19
EEFSEC,315.4,502.47,431.54,291.38,244.33,179.03,184.73,398.19
EEPD1,153,256,213,128,181,144,183,289
EFCAB10,2.09,4.24,4.16,1.05,5.41,1,4.23,5.33
EFCAB11,111,191,182,144,124.87,127,95,244
EFCAB12,16,17,26,22,7,10,16,18
EFCAB13,76.96,97,136,77.92,69,68,58,155
EFCAB14,1872,2539,2557,2041,1606,1594,1499,3068
EFCAB14P1,1,0,0,0,0,0,0,0
EFCAB15P,1,0,1,0,0,1,0,1
EFCAB2,340.7,462.77,548.65,396.12,304.07,292.98,279.33,650.75
EFCAB5,14,17,19,15,8,9,14,22
EFCAB6,1,7,6,0,0,0,1,9
EFCAB6-DT,2,5,12,3,5,0,4,5
EFCAB7,66.25,114,111.07,70,62,65.7,66,112
EFCAB8,0,0,1,1,2,1,1,0
EFCAB9,3,0,0,3,0,1,0,1
EFEMP2,29,57,77,51,26,28,26,45
EFHB,5,17,3,8,2,2,7,8
EFHC1,72,102,120,83,75,89,86,149
EFHC2,1,0,2,0,2,4,0,1
EFHD1,0,1,1,0,0,0,0,0
EFHD2,1763,2954,2547,2045,1739,1430,1297,3019
EFL1,570,897,967,692,524,507,519,1001
EFNA1,0,2,1,1,2,0,0,1
EFNA3,63,119,90,71,52,44,48,92
EFNA4,29,52,68,57,29,22,22,34
EFNA5,0,0,0,0,0,1,0,1
EFNB1,100,166,142,104,115,84,86,178
EFNB2,0,0,2,0,0,0,0,0
EFNB3,0,0,0,1,0,1,0,2
EFR3A,2313,2938,3025,2381,2073,2195,2110,3990
EFR3B,7,11,14,5,5,12,6,11
EFTUD2,2640,4918,4408,3003,2904,2426,2333,5119
EGF,0,0,0,1,0,0,1,0
EGFL6,0,0,0,0,1,0,0,0
EGFL7,179,466,297,220,170,139,153,335
EGFL8,8.48,12.5,5.77,6.69,5.79,0,3,3.69
EGFR,1,1,1,0,0,0,0,0
EGLN1,781,1213,1478,974,659,748,737,1392
EGLN1P1,0.09,0,0,1.15,0.81,0,0,0
EGLN2,1167,2137.3,1896.6,1245.1,1110,888.46,864,2041.5
EGLN3,0,0,1,0,0,0,0,0
EGOT,3,6,6,2,2,5,0,6
EGR1,493,895,914,749,225,331,329,535
EGR2,15,17,29,20,7,9,8,14
EGR3,345,576,553,423,76,104,97,132
EGR4,4,10,4,2,0,0,3,1
EHBP1,500,739,791.5,556.66,436,457.74,407.93,959.51
EHBP1L1,2233,3370,3526,2610,1557,1553,1309,3465
EHD1,809,1433,1395,858,699,564,528,1163
EHD2,3,9,13,7,4,4,4,11
EHD4,126,205,206,137,154,132,127,242
EHHADH,95,145,154,115,87,68,81,164
EHMT1,1182,1885.5,1645,1247,1002,786,787,1871
EHMT2,1435,2619,2287,1657,1355,1083,1211,2603
EHMT2-AS1,2,6,5.01,1,4,7.01,4.01,9.02
EI24,2456,4417,3928,2840,2455,2157,2134,4320
EI24P2,2,2,2,0,1,3,0,1
EID1,3061,3721,4160,3368,2652,2779,2572,5454
EID2,213,353,374,249,174,168,161,452
EID2B,52,97,102,55,62,37,49,104
EID3,1,6,4,1,5,0,0,5
EIF1,5089,10716,11071,6874,4992,4477,4809,9124
EIF1AD,538,960,959,708,548,538,470,1148
EIF1AX,2795.9,3744.7,4428.8,3261.8,2874,3201,2671.9,5419.8
EIF1AXP1,7.12,10.28,10.25,5.16,3.04,0,4.06,10.19
EIF1AY,379,631,736,500,357,376,343,882
EIF1B,838,1431,1523,1086,747,714,693,1501
EIF1B-AS1,16,29,24,22,7,17,10,25
EIF1P3,0,0,0,0,0,0,0,1
EIF2A,2463,3578.6,4049,2792,2154,2057,2167,3808.5
EIF2AK1,2754.7,4599.9,4801.9,3446.5,2961.4,2900.3,2762.3,5807.6
EIF2AK2,445,535,532,436,284,314,246,506
EIF2AK3,461,720,794,586.68,440,394,374,774
EIF2AK3-DT,14,18,41,18,13,8,12,29
EIF2AK4,1122,1766,1704,1240,963,938,911,1886
EIF2B1,1045.4,1766.8,1785.4,1190.3,1135.3,993.09,972.18,2196.5
EIF2B2,333.63,564,533.76,450.92,316,305.9,281.19,643.5
EIF2B3,260,497,485,331,334,279,253,623
EIF2B4,549,980,835,629,540,479,439,1025
EIF2B5,1156,1948,1949,1369,1211,1056,1068,2423
EIF2B5-DT,0,0,1,0,0,0,0,0
EIF2D,598,1040,1008,678,583,475,522,1016
EIF2S1,2353.8,3362.8,3647,2640,2189.8,2234,2081.8,4683.7
EIF2S2,4830.1,7189,8152.5,5944.1,4193.5,4455.9,4070.7,9099.5
EIF2S2P1,0,0,1,1,0,0,0,0
EIF2S2P2,3,1,0,0,0,0,0,0
EIF2S2P3,4,7.86,8,10,5,6,10,17.99
EIF2S2P4,103.94,135.15,167.51,149.9,56.52,72.12,88.34,171.5
EIF2S2P5,0,1,0,0,0,0,0,0
EIF2S3,8532.4,13143,15140,10728,7988.9,8204.8,7957.9,16344
EIF2S3B,59.57,63.19,73.21,55.3,40.07,46.16,50.15,67.53
EIF3A,19994,25939,27998,21906,16641,16734,14755,34096
EIF3B,5167,9132,8682,6041,5515,4706,4609,10552
EIF3C,5485.1,8479.9,9118.3,6686.9,5061.5,3984.1,3581.5,9672.1
EIF3CL,2654.9,4627.1,3497.5,2107.1,1729.5,2195.9,2362.6,3337.9
EIF3D,4625,7914,8246,5640,4644,4049,4051,8919
EIF3E,13146,19396,23255,15988,12962,13230,12747,25457
EIF3EP1,22,37,44,23,25,13,38,44
EIF3F,2855.4,5086.6,5212.7,3454.3,3031.1,2567.6,2651.2,5836.7
EIF3FP3,63.6,176.41,162.28,110.66,103.93,78.36,59.77,169.32
EIF3G,3581.9,5736.8,5640.7,4114.9,3213,2821,2860.9,6313
EIF3H,7549,14091,15387,9781,8193,7724,7891,15941
EIF3I,2415,4838,4749,3081,2943,2508,2415,5477
EIF3J,3354,4275,5220,4106,3113,3796,3052,7083
EIF3J-DT,62.02,139.01,154.15,91,76.02,72,80,144.05
EIF3K,3148,6121,6421,4005,4504,3471,3537,7927
EIF3L,6705.5,12336,12503,7996.5,7040.5,5907,6416.5,12939
EIF3LP1,1,0,0,2,2,1,0,0
EIF3LP2,0,1,2.01,1,2.01,1,1,3.01
EIF3LP3,2,2,0,1,1,0,2,2
EIF3M,3857,6166.7,7206,5164.9,4140,4382,4142,8675
EIF4A1,19524,35304,35623,23210,21213,18132,18565,38739
EIF4A1P10,90.98,178.39,148.54,91.28,63.36,76.16,111.28,179.84
EIF4A1P2,29.76,33.68,28.54,30.75,21.65,19.83,18.77,44.25
EIF4A1P4,3,4,6,9,2,3.07,3,9.06
EIF4A1P5,0,0,0,1,0,1,0,0
EIF4A1P7,1.28,0,3,0,2.03,4,1.05,1.01
EIF4A1P9,0,0,0,0,1,0,0,0
EIF4A2,5303,8123,9398.8,6419.6,6442.5,6752.7,6219.3,12812
EIF4A2P2,0,2,1,0,0,0,1,0
EIF4A2P3,0,0,1,0,0,0,0,0
EIF4A2P4,2,0,0,0,0,3,0,1
EIF4A3,1558,3302,3079,1882,2047,1652,1683,3740
EIF4B,20608,31365,32889,24078,16175,15647,14732,32247
EIF4BP2,1,0,1,1,1,0,0,1.98
EIF4BP3,34.08,38.99,33,13.47,12.64,9.4,16.07,27.99
EIF4BP5,0,3,1,1,0,2,0,1
EIF4BP6,100.97,137.02,110.15,84.19,60.25,45.53,57.17,105
EIF4BP7,53.76,59.23,54.48,42.33,37.05,19.64,26.92,72.32
EIF4BP8,0,4,2,2,1,1,2,3
EIF4BP9,0,1,0,1,0,1,1,0
EIF4E,1555.3,2436.1,2648.1,2009.9,1831.8,1711.7,1682.6,3424.8
EIF4E2,1772.6,3150.6,3111,2245.6,1761.3,1718.2,1553.4,3775.7
EIF4E3,7,9,13,7,3,6,5,10
EIF4EBP1,1440,2809,2553,1673,1357,1080,1160,2174
EIF4EBP2,4806,7212,6988,5237,4565,4566,4233,8562
EIF4EBP3,105.6,241.57,183.84,139.67,113.91,102.66,76.13,179.88
EIF4ENIF1,605.92,854.83,831.94,638,522,476.78,462.94,968.9
EIF4EP1,5,4,2,4,4,1,2,5
EIF4EP2,22.71,43.89,25.94,29.09,20.19,30.27,27.41,55.25
EIF4G1,13563,19251,16752,12969,10104,8371,8397,18751
EIF4G2,15957,24104,25011,17977,15440,15838,14837,28809
EIF4G3,2943,3931,3818,3057,2293,2266,2085,4418
EIF4H,8159.4,16130,14845,9790.8,7925.5,6751.4,6446.6,14568
EIF4HP1,46.61,73.3,63.77,43.2,25.53,22.64,27.37,52.94
EIF4HP2,5,8,10,4,6,3,5,5
EIF5,5318,7767,8705,6289,4801,4904,4521,9198
EIF5A,7570.8,13815,13036,8131.6,7681.7,6658.9,5950.4,14088
EIF5A2,64,85,85,84,72,67,66,125
EIF5A2P1,0,0,0,3,0,0,0,0
EIF5AL1,67.17,126.93,81.49,101.43,72.34,52.07,58.59,173.15
EIF5AP3,0,0,0,0,1,1,1,2
EIF5AP4,0,1.07,0,1,0,0,0,1
EIF5B,6284.3,9084.8,10738,8359.9,7042.8,7704,6461.2,15274
EIF5P1,0,0,0,0,0,0,1,0
EIF6,692.93,1555.9,1499.9,896.76,898,734.81,691,1548
EIPR1,459,837,904,509,498,401,385,987
EIPR1-IT1,0,0,0,0,0,0,1,2
ELAC1,111.32,190.69,197,136.49,116.78,110.73,112,200.56
ELAC2,1482,2634,2273,1518,1427,1195,1176,2639
ELANE,1265,3222,2441,1526,2478,1573,1715,3428
ELAPOR1,2,3,4,3,6,4,5,3
ELAPOR2,1,1,0,1,0,0,0,0
ELAVL1,2813,4438,4488,3381,2699.2,2541,2439,5279
ELAVL3,0,0,1,0,0,0,1,0
ELAVL4,0,1,0,0,1,0,0,0
ELF1,7832.8,10517,11000,8145.1,5872.2,5856,5796,11124
ELF2,983,1337,1526,1101,940,915,906,1810
ELF3,1,2,2,4,1,1,1,2
ELF3-AS1,26.04,37.12,32.06,26.03,24.07,28.1,32.25,69.2
ELF4,1737,2901,2690,1896,1218,1098,999,2037
ELF5,0,1,0,1,0,1,0,0
ELFN1,5,8,4,4,3,0,0,4
ELFN1-AS1,1,1,3,3,0,1,1,0
ELFN2,1,0,2,1,0,0,0,2
ELK1,716,1295,1077,807,522,465,444,969
ELK3,271,348.91,381.96,314,207,246,219,410
ELK4,1267.9,1671,1744,1368,935,1096,971,1898
ELL,767,1357,1236,756,627.09,500,589,1226
ELL2,213,297,345,233,146,222,174,277
ELL2P1,0,5,3,0,0,1,0,1
ELL3,13.24,32.12,30.96,18.96,15.82,10.21,7.17,26.84
ELMO1,603,931,901,648,605,473,447,1085
ELMO2,600,944,886,658,535,446,470,990
ELMO3,12,41,36,14,17,13,19,31
ELMOD2,507,593,796,593,449,558,501,927
ELMOD3,114,216,213.01,125.03,150.03,129,108,227
ELN,0,0,0,0,1,0,0,1
ELN-AS1,0,2,1,0,0,0,0,4
ELOA,1039.9,1674.3,1538.7,1066.5,944.1,872.48,753.26,1744.9
ELOA-AS1,15.11,22.69,30.32,16.53,10.9,6.52,7.74,54.05
ELOA2,0,1,0,0,0,0,0,0
ELOA3CP,1,0,0,2,0,0,0,0
ELOB,504.96,1236,1026,537.96,699,528,526.99,1097
ELOC,1103,1839,2091,1336,1221,1216,1210,2568
ELOCP19,2,0,4,4,1,1,6,4
ELOCP28,0,0,1,0,0,0,0,0
ELOCP31,0,1,0,0,0,0,0,0
ELOF1,621,1181,986,780,534,486,481,961
ELOVL1,482,904,771,609,481,401,441,888
ELOVL2,0,3,2,5,1,3,2,2
ELOVL3,17,78,59,37,37,27,48,103
ELOVL5,2210,3112,3416,2758,1712,1875,1692,3583
ELOVL6,18,28,37,23,28,19,21,38
ELOVL7,3,2,1,0,2,2,2,0
ELP1,1007,1657,1669,1198,1099,1018,1070,2169
ELP2,1070,1799.3,1838.6,1173.2,1179.7,1068,1087,2131.6
ELP3,1193,2065,2153,1502,1177,1069,1055,2322
ELP4,420,583,670,521,452,442,450,805
ELP5,545,1043,884,591,512,441,407,940
ELP6,268,546,480,335,284,267,242,569
EMB,18231,20402,22719,20331,16314,18643,16838,32792
EMBP1,462.28,535.33,467.61,572.44,328.05,360.6,299.66,721.08
EMC1,1570,2521.9,2344.7,1574.2,1441,1299.2,1213.2,2688.2
EMC1-AS1,4,8.06,10.3,7.85,4,5.84,4.77,3.76
EMC10,1277.7,2660.1,2246.5,1558.1,1295,1211.2,1055,2448.9
EMC2,578,808,983,738,568,604,635,1269
EMC3,604.71,1077.6,1115.2,720.15,640.57,556.82,620.18,1133.3
EMC3-AS1,63.29,139.44,146.23,103.85,92.43,93.53,85.82,192.72
EMC4,711.98,1341,1425,976.91,806,744.99,726,1603
EMC6,374.69,649.77,582.04,429.64,277.39,249.02,262.78,560.66
EMC7,480,884,984,555,630,557,512,1170
EMC8,380,780,647,441,456,380,366,794
EMC9,94,202.91,194.48,110,129.63,88,99,195.55
EMD,561,1164,1093,666,478,392,387,914
EME1,182.08,307.49,280.37,203.29,191.17,176.65,167.05,375.69
EME2,258.06,472.09,355.23,302.11,268.41,255.8,250.52,586.47
EMG1,982.11,1823.7,1731.3,1191.4,1055.3,883.7,932.48,2007.4
EMID1,190,404,376,217,100,97,86,140
EMILIN1,32,74,47,34,29,20,21,33
EMILIN2,2456,3967,3637,2553,2704,2272,2291,4966
EML1,1,1,1,1,0,1,0,1
EML2,770.5,1543.5,1418.7,1026.4,703.81,579.98,582.96,1392.4
EML2-AS1,45.5,85.5,64.31,57.63,33.19,39.02,23.04,44.56
EML3,890,1946.5,1612.3,1032.4,900.52,687.19,699.46,1621.1
EML4,1031,1329,1346,1047,878,895,825,1756
EML4-AS1,0,0,0,1.01,0,1,0,2.01
EML5,13.01,7,8,5,4.1,4.01,9.95,8.94
EML6,5,2,9,3,5,3,3,8
EMP1,61,119,146,81,55,62,66,118
EMP2,123.21,259,240,174,184,168,160,376
EMP2P1,0,0,1,0,0,0,0,0
EMP3,3451,5001,5233,3847,1998,2160,2168,4339
EMSLR,24,50,59,45,34,26,41,86
EMSY,584,752,730,608,450,445,464,847
EMX1,0,0,0,1,0,0,0,0
EN2,0,0,3,1,1,0,0,3
ENAH,10,14,16,7,5,11,10,18
ENC1,46,83,80,63,72,61,74,132
ENDOD1,264,468,383,305,189,194,165,362
ENDOG,101.73,239.31,182.98,118.37,135.94,88.83,93.91,184.93
ENDOU,0,1,0,0,0,3,0,0
ENDOV,217,401,370,245,237,207,205,420
ENG,1118,2057,1653.7,1153.7,954,755,814.71,1587.8
ENGASE,368,700,599,455,431,337,314,722
ENHO,1,10,8,3,3,9,2,12
ENKD1,98.13,271.11,212.73,132.99,124.03,104.05,116.59,235.43
ENKUR,0,0,1,0,0,1,0,1
ENO1,36799,65862,68773,45149,33350,29806,29954,61110
ENO1-AS1,0,2,3,1,2,2,1,2
ENO1P1,10,12.53,11.26,10.45,6.19,6,8,9.39
ENO1P4,0,0,0,0,0,0,3.66,0
ENO2,343,788,951,590,198,285,268,500
ENO3,64,97,104,73,64,46,50,102
ENO4,0.61,0,0,0,0,0,0,0
ENOPH1,747,1301,1382,907,838,918,822,1645
ENOSF1,746.59,1343.7,1360.6,959.34,920.06,878,883.83,1900.3
ENOX1,0,3,2,1,2,0,2,2
ENOX2,354,589,566,376,321,291,285,602
ENPP1,0,0,1,0,1,0,0,0
ENPP2,1025,1727,1695,1129,695,663,613,1153
ENPP3,0,0,0,2,2,0,0,0
ENPP6,1,5,4,7,1,0,0,1
ENPP7,1,1,2,2,0,1,1,1
ENPP7P1,0,0,0,0,1,0,0,2
ENPP7P10,0,1,0,0,0,0,0,0
ENPP7P12,0,0,1,0,0,0,1,2
ENPP7P2,4,6,4,3,0,1,0,1
ENPP7P5,1,1,2,0,0,1,0,0
ENPP7P8,0,0,3,0,1,0,0,0
ENPP7P9,0,0,0,1,0,0,1,0
ENSA,2805.9,4992.7,5250.9,3511.9,2815.9,2643,2553.8,5587.5
ENSAP2,1.05,2.26,3.14,2.14,1.05,0,2.18,5.46
ENTPD1,77,135,120,104,89,89,69,203
ENTPD1-AS1,106,106,123,107,63,51,79,136
ENTPD2,0,1,0,0,0,0,0,0
ENTPD3-AS1,8,21,26,13,12,3,10,29
ENTPD4,816,1209,1350,991,870,755,759,1742
ENTPD5,162.94,235.81,285.67,181.14,141.51,151.6,109.7,230.88
ENTPD6,365,686.21,637,386.33,358.94,311.59,270,659
ENTPD7,212,281,260,202,173,140,143,313
ENTPD8,0,1,0,0,0,0,1,0
ENTR1,668,1138,1085,779,701,624,615,1404
ENTR1P1,0,0,1,0,0,0,0,0
ENTR1P2,0,0,0,0,1,1,1,1
ENY2,1584,2784,2828,2074,1478,1442,1501,3523
EOGT,265,348,369,318,275,275,255,475
EOLA1,183.69,307.28,301.67,213.01,169.21,151.43,138.09,325.92
EOLA2,160.41,294.09,240.57,161.07,158.76,139.57,138.76,270.86
EOMES,0,2,2,1,0,0,0,0
EP300,4039,5366,4859,3663,2413,2256,2420,4790
EP300-AS1,0,0,2,2,3,1,1,0
EP400,2339.6,3729,3318.6,2468.6,1883.1,1703.2,1731.6,3484.5
EP400P1,302.38,462.98,449.4,364.42,353.86,314.98,273.37,695.51
EPAS1,22,40,41,31,27,17,28,40
EPB41,1886,2809,2879.6,2037,1562,1491,1470,2793
EPB41L1,15,20,29,19,5,6,8,6
EPB41L2,1581,1929,2092,1650,1092,1173,1007,2209
EPB41L3,1002,1311,1429,1108,685,634,586,1379
EPB41L4A,5.47,5.26,5.7,13.77,1.32,8.32,7.75,18.82
EPB41L4A-AS1,279.53,489.74,527.3,371.23,340.68,274.68,299.25,632.18
EPB41L4B,0,2,3,1,1,0,1,0
EPB41L5,15,26,17,24,10,5,13,23
EPC1,664.92,936.47,1067,785,563.98,560,551,1166.9
EPC2,617,827,922,692,524,546,555,1030
EPCAM-DT,1,0,0,0,0,0,0,1
EPDR1,269,422,496,353,304,262,267,581
EPG5,579,954,910,575,547,448,457,926
EPGN,0,1,1,0,0,0,0,2
EPHA1,117,190,152,121,85,84,73,155
EPHA1-AS1,209.23,282,281,248,132,152,173,329
EPHA10,0,4,3,1,0,2,0,1
EPHA2,0,1,0,0,0,0,0,1
EPHA3,1,0,0,0,0,0,0,0
EPHB1,0,0,0,0,0,0,0,2
EPHB2,1,1,0,0,2,0,0,0
EPHB3,68,121,122,63,59,43,58,109
EPHB4,104,206,187,137,117,88,85,206
EPHB6,189,349,294,166,210,138,143,316
EPHX1,228,401,363,266,287,240,226,490
EPHX2,1,0,0,0,0,0,1,0
EPHX3,0,2,0,0,0,0,0,0
EPIST,94,196,143,113,76,93,72,148
EPM2A,153,205,194,129,136,124,131,285
EPM2AIP1,777,1045,1145,911,725,862,738,1527
EPN1,2179,3696.2,3082.3,2412,1851,1540,1499,3123.2
EPN2,74.51,112.61,80.56,70.17,41.05,41.92,51.63,74.2
EPN2-AS1,0,0,0,0,0,0,1,0
EPN3,0,0,1,2,0,1,0,0
EPO,2,0,2,0,0,0,1,2
EPOP,264,526,436,312,226,214,208,419
EPOR,198,383,340,218,204,136,145,343
EPPK1,0,2,1,5,0,0,0,0
EPRS1,5095,8238,8490,5601,4844,4324,4544,8369
EPS15,854,1292,1451,1103,819,858,807,1603
EPS15L1,895,1584,1468,965,783,655,765,1526
EPS8,137,199,235,130,97,98,118,177
EPS8L1,256,422,499,316,252,229,221,497
EPS8L2,7,12,19,6,5,6,6,3
EPS8L3,0,0,0,1,0,0,0,0
EPSTI1,4,10,5,4,1,6,1,1
EPX,1,1,0,3,1,5,6,6
ERAL1,475.94,1119,933,593,606,478,460,997
ERAP1,842.06,1111.9,1102.2,855.01,615,587.98,574.92,1150.1
ERAP2,268,362,430,334,168,183,181,320
ERAS,1,0,1,0,0,1,0,0
ERBB2,28,51,65,40,37,32,22,37.03
ERBB3,1,2,2,1,0,1,1,3
ERBB4,0,1,0,1,0,0,0,0
ERBIN,3038,3926,4498,3535,2520,2728,2540,5025
ERBIN-DT,1,1,2,2,0,3,1,2
ERC1,919,1369,1225,799,597,605,563,1191
ERCC-00002,127460,291730,383070,259260,265110,195920,167560,514160
ERCC-00003,15848,16321,33007,35348,21711,26760,16728,59850
ERCC-00004,6996,9789,17610,15347,11197,10770,7196,28370
ERCC-00009,1946,4844,7218,4062,5937,4403,3816,10769
ERCC-00012,2,1,2,0,3,1,0,2
ERCC-00013,10,18,21,14,21,19,14,53
ERCC-00014,26,44,63,48,55,46,38,136
ERCC-00016,1,0,4,3,2,3,3,3
ERCC-00017,0,1,1,0,0,0,0,0
ERCC-00019,31,52,91,41,49,43,30,102
ERCC-00022,1631,3030,4748,3629,3318,2920,2426,7542
ERCC-00024,1,2,6,1,2,1,0,4
ERCC-00025,405,794,1197,849,829,714,541,1707
ERCC-00028,1,8,11,6,8,7,1,14
ERCC-00031,8,14,33,18,11,11,12,30
ERCC-00033,2,1,7,8,0,6,8,11
ERCC-00034,76,140,191,124,140,122,108,331
ERCC-00035,396,777,1174,853,862,705,533,1809
ERCC-00039,12,41,47,47,45,33,31,87
ERCC-00040,5,5,12,10,5,8,4,15
ERCC-00041,2,4,8,8,4,3,6,9
ERCC-00042,2313,3561,6222,5039,4210,4366,3090,9619
ERCC-00043,7110,9136,18560,16033,12789,14377,9698,32460
ERCC-00044,658,1291,2028,1408,1435,1207,984,2947
ERCC-00046,22416,40243,79996,52903,41977,42306,27478,122820
ERCC-00048,0,0,0,0,0,2,0,2
ERCC-00051,38,56,112,79,44,57,55,179
ERCC-00053,156,214,378,333,259,304,234,689
ERCC-00054,28,44,88,75,56,61,45,144
ERCC-00057,0,2,0,1,0,0,0,2
ERCC-00058,16,24,45,24,39,34,24,73
ERCC-00059,41,122,165,87,132,89,81,273
ERCC-00060,2448,1979,4520,5098,2777,3173,1949,8393
ERCC-00061,0,0,2,3,1,1,0,2
ERCC-00062,136,163,322,298,246,298,185,572
ERCC-00067,8,22,24,18,15,13,11,34
ERCC-00069,20,41,54,44,43,31,25,89
ERCC-00071,317,612,974,674,660,583,543,1467
ERCC-00073,4,9,4,8,7,3,4,20
ERCC-00074,88756,132920,253420,199440,149680,138360,105300,372360
ERCC-00075,0,0,0,0,2,1,0,0
ERCC-00076,966,2049,3019,1880,2028,1508,1346,3812
ERCC-00077,19,29,54,31,33,29,29,99
ERCC-00078,375,610,1041,704,707,573,546,1567
ERCC-00079,431,840,1296,887,903,690,545,2018
ERCC-00081,3,2,5,5,3,5,0,6
ERCC-00083,1,0,0,0,0,0,0,1
ERCC-00084,240,450,721,504,444,384,325,1002
ERCC-00085,8,16,36,25,41,20,11,61
ERCC-00086,3,3,4,9,5,3,4,8
ERCC-00092,308,653,1016,654,729,613,521,1420
ERCC-00095,157,239,402,348,292,242,186,636
ERCC-00096,81425,148240,230180,170320,153370,126770,107550,328530
ERCC-00097,4,0,0,2,0,1,0,1
ERCC-00098,0,1,0,2,0,5,0,6
ERCC-00099,132,245,398,319,325,317,209,674
ERCC-00104,2,5,2,6,1,0,3,6
ERCC-00108,553,1266,1915,1014,1384,1069,921,2804
ERCC-00109,0,2,3,3,5,2,4,15
ERCC-00111,4287,7217,11996,9009,7948,7048,5838,18263
ERCC-00112,1030,2018,3031,2059,2249,1805,1586,4369
ERCC-00113,23845,46873,71709,50369,51052,41746,35456,106840
ERCC-00116,78,227,305,169,234,178,119,422
ERCC-00117,0,0,2,1,1,0,1,2
ERCC-00120,2,4,13,8,11,2,7,22
ERCC-00123,0,2,0,1,0,2,2,4
ERCC-00126,29,64,87,63,74,51,45,120
ERCC-00130,36974,58998,95174,76117,62161,57639,46212,144270
ERCC-00131,153,245,397,301,317,243,182,648
ERCC-00134,0,0,1,1,1,0,0,1
ERCC-00136,1868,3215,5443,3953,4110,3824,3147,9097
ERCC-00137,3,3,8,7,4,4,0,10
ERCC-00138,3,3,2,5,4,1,2,6
ERCC-00142,0,0,0,1,1,3,0,6
ERCC-00143,15,27,33,21,38,15,14,54
ERCC-00144,17,30,52,30,42,29,27,71
ERCC-00145,3550,6272,10711,7421,7911,6679,5485,17797
ERCC-00147,3,1,4,2,2,8,4,5
ERCC-00148,28,51,83,62,49,49,62,107
ERCC-00150,7,25,41,21,26,25,19,50
ERCC-00154,11,12,22,7,16,6,2,22
ERCC-00156,0,1,1,0,0,0,0,0
ERCC-00157,60,111,200,120,157,133,102,331
ERCC-00158,11,8,15,11,14,7,3,28
ERCC-00160,91,168,253,183,217,150,140,456
ERCC-00162,571,738,1354,1259,852,807,570,2134
ERCC-00163,77,142,221,158,169,128,109,357
ERCC-00164,7,5,7,10,5,8,1,17
ERCC-00165,286,571,809,449,573,481,410,1064
ERCC-00168,4,10,25,15,16,7,6,36
ERCC-00170,45,31,75,62,53,52,28,131
