,mr351-MV411-DMSO-r1,mr352-MV411-DMSO-r2,mr353-MV411-DMSO-r3,mr354-MV411-DMSO-r4,mr355-MV411-72h_MEIS1-r1,mr356-MV411-72h_MEIS1-r2,mr357-MV411-72h_MEIS1-r3,mr358-MV411-72h_MEIS1-r4
MSH2,30.13,27.6,27.73,27.85,29.59,32.32,31.78,25.36
MAP3K1,22.96,17.87,19.06,22.15,18.86,24.09,23.8,19.21
DHPS,71.06,87.16,83.62,66.07,85.87,72.12,81.19,73.48
HOOK2,24.37,24.07,26.71,25.29,29.12,27.35,26.21,25.1
ARCN1,98.33,100.46,89.94,96.02,93.34,97.14,101.75,81.39
EPB41L4B,0.0,0.02,0.03,0.01,0.02,0.0,0.02,0.0
TMEM38B,8.26,8.0,7.96,7.69,9.72,11.02,9.64,7.35
PSMD5,20.0,21.33,20.62,21.9,19.67,21.91,21.35,18.52
PTGS1,10.53,12.19,10.93,11.84,6.87,6.76,8.26,5.58
NUP188,27.83,31.95,25.28,21.25,24.97,22.56,23.36,20.32
CRAT,5.94,6.88,6.53,6.37,5.15,5.34,5.29,4.52
SH2D3C,11.7,14.89,13.77,12.94,8.83,7.3,10.24,6.9
NANS,57.63,66.33,58.46,60.51,64.7,65.28,61.91,58.52
TBC1D2,1.37,1.55,0.92,0.97,1.06,1.1,1.08,0.93
WHRN,0.07,0.11,0.2,0.26,0.04,0.14,0.0,0.08
PDE6C,0.0,0.01,0.0,0.0,0.04,0.0,0.0,0.0
CWF19L1,18.7,20.69,19.56,18.39,22.95,20.35,21.21,18.86
SEMA4G,0.85,1.04,0.58,0.68,0.87,0.56,0.87,0.68
BTAF1,25.76,19.4,22.02,21.96,24.19,25.37,26.67,23.32
IKZF5,11.52,11.09,8.73,9.45,10.66,9.32,15.03,7.29
BLNK,0.23,0.36,0.23,0.41,0.09,0.21,0.44,0.41
TLL2,0.0,0.03,0.0,0.0,0.01,0.0,0.03,0.0
CYP26A1,0.11,0.0,0.0,0.0,0.12,0.0,0.0,0.03
SORBS1,0.62,0.08,0.07,0.01,0.09,0.06,0.03,0.07
CRTAC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
BAMBI,0.04,0.1,0.12,0.1,0.08,0.08,0.18,0.04
IL11,0.06,0.05,0.04,0.13,0.09,0.09,0.0,0.0
MYO3A,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
WAC,55.66,48.17,48.2,52.14,46.4,53.23,53.3,42.88
CREM,7.62,7.38,8.8,5.72,7.63,5.66,8.26,5.63
NUBP2,28.25,41.89,29.94,28.43,29.33,25.41,27.7,24.06
TPSD1,0.1,0.07,0.15,0.09,0.21,0.02,0.06,0.03
SMIM24,3.71,4.1,5.58,3.46,2.38,2.25,3.56,1.98
HIVEP1,5.4,4.68,3.5,5.21,2.97,2.91,3.72,2.98
TREM2,2.96,5.55,4.51,3.05,9.69,8.99,9.06,7.17
FKBP5,42.65,38.56,37.72,40.05,39.24,38.79,42.09,36.88
SRPK1,44.29,34.21,28.97,33.83,26.29,28.76,25.37,25.78
BRPF3,6.41,6.25,4.87,6.49,4.42,5.2,5.2,4.74
MRPS18A,36.4,36.5,36.74,33.62,29.73,28.81,31.01,28.47
TMEM14A,1.08,0.97,1.37,1.26,0.73,1.26,1.16,1.2
EFHC1,2.64,1.87,4.4,2.42,1.6,4.34,4.49,3.03
HSP90AB1,782.26,826.59,743.03,731.3,724.26,683.6,755.39,681.18
CDC5L,19.45,17.58,16.64,18.3,16.01,16.82,17.19,15.74
ITPR3,1.39,1.37,1.24,1.19,1.15,1.22,1.01,0.99
ZNF184,7.16,7.04,6.53,7.2,7.63,8.28,9.56,7.29
SIRT1,11.22,9.65,10.59,11.92,11.24,13.48,12.51,10.03
HNRNPH3,210.59,169.64,192.48,230.21,177.49,207.29,200.47,212.25
IFT74,15.01,12.08,13.51,13.72,10.98,14.9,14.43,13.18
JAK2,8.25,6.66,6.82,6.91,8.26,9.17,9.53,7.61
IL12RB1,11.93,14.68,10.81,9.22,9.92,8.39,11.1,7.28
ABL1,23.54,21.85,18.44,19.71,17.23,13.02,15.17,13.39
ACOT7,30.28,35.66,29.63,27.84,34.67,26.45,32.3,27.03
SH3GLB1,18.3,15.99,17.75,17.72,18.04,17.44,16.43,15.03
CDC7,15.28,13.5,14.4,16.14,16.45,17.05,17.07,16.19
PCSK5,0.03,0.04,0.02,0.0,0.01,0.02,0.01,0.02
SCD,348.29,349.1,360.0,355.78,270.64,297.67,317.98,234.39
TMED1,18.05,18.64,18.91,15.31,17.77,14.99,19.53,15.84
ABLIM1,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0
ERMP1,25.9,24.99,25.07,24.3,14.6,15.09,16.81,13.83
RAB18,56.61,42.91,50.75,61.73,53.54,57.45,64.17,52.4
NRP1,3.86,2.46,2.72,2.23,2.64,3.98,5.71,2.05
HSD17B7P2,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
TSPAN15,0.6,1.05,0.55,0.94,1.04,0.62,1.29,0.85
MACROH2A2,3.3,4.41,3.81,3.63,3.55,3.33,3.59,3.38
WASHC2A,19.02,17.91,16.39,17.35,18.24,18.03,21.85,15.08
MAST3,9.21,9.6,8.1,8.27,8.06,7.5,7.4,6.92
MZF1,10.93,12.57,10.17,9.92,9.72,7.74,9.24,9.57
OCEL1,20.19,22.67,23.13,22.37,21.12,17.02,19.81,15.05
MYO9B,45.11,42.28,36.29,39.2,38.97,36.27,36.14,34.4
KCNK6,10.14,11.58,10.22,11.39,9.07,9.02,9.12,9.0
CATSPERG,1.08,1.1,0.61,0.55,0.91,1.66,1.12,1.12
PSMD8,143.95,153.38,137.53,131.33,130.99,121.42,127.92,135.37
FBXL19,25.47,31.27,25.0,24.14,21.98,20.33,21.55,19.45
STX1B,0.87,0.82,0.71,0.75,0.43,0.76,0.33,0.48
HSD3B7,6.95,8.81,8.07,6.46,5.55,5.5,5.39,5.09
SETD1A,17.8,14.58,11.05,14.12,10.56,9.85,11.0,10.46
BCL7C,19.13,20.56,17.85,17.6,16.29,13.56,14.87,13.52
CIRBP,295.06,349.1,328.77,303.16,317.15,308.37,319.52,337.69
ATP5F1D,87.1,116.06,83.47,87.41,96.76,94.19,101.23,72.07
CBARP,0.3,0.46,0.26,0.24,0.46,0.22,0.11,0.4
PRKY,7.48,3.27,3.25,3.32,4.31,4.56,4.3,3.64
IGFALS,0.0,0.09,0.06,0.03,0.0,0.0,0.08,0.1
HNRNPM,302.02,307.98,291.73,301.32,282.59,263.11,286.31,278.72
MARCHF2,5.71,6.83,5.75,6.69,6.13,5.38,6.96,5.32
NDUFB7,113.71,152.02,126.62,101.05,143.16,117.84,114.81,111.13
TECR,199.69,224.74,193.19,182.82,178.99,155.77,169.0,159.18
TIMM13,51.37,80.78,52.3,53.35,67.06,43.89,63.21,43.72
CDC34,34.31,37.1,31.96,30.89,36.55,27.31,27.01,26.62
MTAP,29.77,24.22,26.73,28.39,28.51,27.86,25.44,23.15
MISP,0.34,0.43,0.56,0.51,0.22,0.18,0.2,0.18
CEP170B,2.21,2.51,1.63,1.79,1.71,0.93,1.61,1.16
POLR2E,150.91,180.88,141.03,135.35,156.36,139.26,154.83,141.96
POLRMT,23.34,26.11,22.93,22.24,27.3,25.13,27.94,21.61
HCN2,0.08,0.05,0.09,0.05,0.06,0.02,0.05,0.06
CDHR5,0.12,0.08,0.26,0.0,0.04,0.04,0.0,0.03
IZUMO4,1.8,4.1,4.32,2.1,4.61,3.36,3.94,4.15
RASSF7,4.61,6.43,4.91,3.23,4.99,4.45,4.34,4.21
GADD45B,24.14,28.4,29.14,25.59,19.31,21.3,20.65,18.87
PALM,0.5,1.03,0.83,0.91,1.69,0.55,1.02,0.43
MADCAM1,0.22,0.28,0.26,0.22,0.18,0.42,0.3,0.39
MKNK2,46.85,64.22,51.26,49.02,48.14,37.17,50.54,36.74
ARVCF,0.51,0.75,0.82,0.58,0.9,0.85,0.98,0.67
TRMT2A,43.69,54.52,34.1,41.81,47.78,35.23,38.31,35.0
RANBP1,316.56,341.21,298.22,304.6,309.57,290.97,308.41,296.61
ZDHHC8,12.11,11.91,7.95,10.14,11.98,7.51,10.63,9.01
KLHL22,6.56,6.56,5.37,5.47,6.18,5.27,5.8,5.02
MED15,22.85,27.36,21.69,21.56,22.79,18.99,19.12,17.59
SERPIND1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.08
SNAP29,30.98,23.26,20.34,26.93,18.24,18.31,21.74,18.96
CRKL,22.21,24.49,20.97,21.43,21.15,20.9,23.63,19.03
LZTR1,10.5,12.49,10.33,11.96,12.37,12.15,11.42,11.1
MMP11,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
CECR2,0.64,0.51,0.64,0.81,0.64,0.28,0.95,0.7
SMARCB1,70.23,92.62,74.14,69.97,72.11,60.88,69.45,56.11
P2RX6,0.17,0.68,0.57,0.35,0.4,0.27,0.66,0.35
DERL3,12.11,15.39,11.37,10.16,11.4,9.33,8.78,6.8
SLC7A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
BCL2L13,41.14,38.19,38.0,43.55,39.74,32.54,30.96,31.57
DDTL,4.06,5.02,4.21,3.39,4.8,2.8,3.44,3.77
DDT,95.58,132.6,109.28,89.7,110.9,94.64,104.07,77.1
OSM,4.88,5.05,4.04,3.48,4.94,3.49,3.72,3.22
CABIN1,25.44,29.7,21.81,21.51,20.12,16.27,19.24,15.05
TBC1D10A,3.86,5.2,4.11,3.68,3.48,3.54,5.11,3.17
SUSD2,0.02,0.04,0.01,0.03,0.04,0.0,0.02,0.01
SF3A1,68.59,62.84,51.98,56.99,48.51,42.81,47.92,40.38
GGT5,4.96,7.59,5.86,6.16,3.33,3.72,5.58,3.29
RNF215,1.29,3.03,1.68,1.07,1.87,1.63,2.35,1.18
SEC14L2,0.16,0.46,0.19,0.26,0.31,0.42,0.22,0.17
SEC14L3,0.0,0.0,0.0,0.02,0.0,0.0,0.03,0.0
SPECC1L,14.14,12.25,11.14,11.04,10.31,9.14,10.94,9.11
PPIL2,25.32,27.89,23.38,22.0,23.89,21.82,21.13,21.5
UPB1,1.03,0.87,0.93,0.9,0.47,0.54,0.63,0.36
YPEL1,1.25,0.96,1.08,0.75,1.31,0.67,0.88,0.71
SNRPD3,173.28,165.12,163.56,151.31,155.51,143.38,161.26,149.32
PES1,85.01,86.98,79.42,79.07,80.71,70.09,69.57,72.98
MAPK1,29.52,33.43,25.33,24.74,21.44,21.43,23.92,19.51
GGT1,29.62,30.06,30.7,27.25,21.04,18.36,22.02,16.86
PRODH,0.01,0.19,0.24,0.03,0.04,0.03,0.0,0.01
PPM1F,8.45,9.59,7.95,7.43,8.23,6.79,7.65,6.59
SLC35E4,0.05,0.1,0.1,0.05,0.03,0.03,0.03,0.12
TOP3B,12.12,12.33,10.18,9.43,9.43,9.98,10.71,8.91
CYTH4,44.26,52.23,47.37,43.55,22.44,21.36,30.3,19.73
ESS2,10.23,11.87,11.66,11.48,10.25,9.7,10.61,11.04
CRYBB2P1,6.78,7.65,7.0,7.39,7.81,6.42,7.63,6.23
MFNG,78.17,94.53,73.66,66.59,60.91,53.81,63.57,50.99
CARD10,0.34,0.66,0.28,0.47,0.33,0.58,0.23,0.14
LRP5L,1.59,2.19,2.06,2.07,2.12,1.25,1.57,2.22
SLC25A1,81.54,110.71,90.1,80.41,91.33,73.96,86.86,69.19
GRK3,4.1,3.78,3.55,3.82,5.52,4.67,4.08,3.5
LGALS2,1.7,1.72,3.16,3.72,3.27,2.32,3.48,1.89
GGA1,17.53,19.8,16.67,17.04,16.42,15.58,17.91,15.45
HIRA,19.22,19.84,16.45,17.23,16.83,14.78,16.47,14.71
SH3BP1,27.53,36.09,25.91,25.16,27.59,22.91,23.04,20.38
SEZ6L,0.02,0.03,0.01,0.0,0.0,0.0,0.01,0.02
LGALS1,1065.5,1543.7,1423.6,1145.5,1354.8,1150.7,1293.7,1050.2
HPS4,18.04,16.76,14.63,16.14,20.35,14.71,16.83,15.24
PIK3IP1,1.97,2.01,1.99,1.82,1.67,1.14,1.04,1.13
Z83844.1,0.0,0.14,0.07,0.03,0.02,0.02,0.0,0.01
SRRD,10.26,10.94,9.93,8.42,9.32,12.8,15.05,9.16
PATZ1,23.2,27.35,22.28,22.02,24.38,19.86,22.07,21.76
TRIOBP,13.08,13.03,11.72,11.52,9.71,8.5,9.46,8.88
TFIP11,16.37,19.09,15.58,14.1,16.2,14.41,14.94,12.73
GCAT,9.81,12.13,8.05,8.99,8.72,7.21,7.4,7.4
GGTLC2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
CRYBB1,2.12,2.03,1.77,1.61,1.58,2.08,1.45,1.4
ANKRD54,11.6,16.58,12.57,12.3,12.26,10.98,12.37,13.58
EIF3L,331.85,391.35,352.65,341.68,382.6,324.56,403.12,296.9
SNU13,80.12,100.57,86.56,76.96,89.84,84.34,85.77,80.88
MICALL1,9.96,11.89,10.41,7.82,9.01,9.12,9.52,8.62
POLR2F,59.52,54.97,56.37,58.38,54.36,48.79,54.4,56.65
SOX10,0.0,0.02,0.04,0.02,0.05,0.03,0.03,0.12
CCDC134,6.07,4.71,4.13,3.37,2.87,3.7,4.25,2.44
DEPDC5,16.37,16.97,17.03,16.45,17.0,11.84,14.75,15.76
PICK1,3.56,4.43,3.41,3.27,3.19,2.93,3.14,2.91
TTC28,15.47,15.23,13.15,13.9,7.4,7.44,8.46,6.97
SLC16A8,0.0,0.08,0.0,0.03,0.0,0.0,0.0,0.0
CENPM,22.01,33.27,24.21,18.25,29.08,25.9,28.95,24.3
SEPTIN3,1.19,1.03,0.75,0.97,1.31,1.21,1.84,1.49
KDELR3,0.4,0.28,0.33,0.81,0.33,0.28,0.15,0.31
CYP2D6,0.41,0.2,0.32,0.31,0.44,0.07,0.6,0.33
DDX17,159.34,137.8,134.13,145.29,141.51,145.17,147.14,126.44
DMC1,0.6,0.36,0.29,5.54,5.14,2.26,1.9,2.96
TCF20,20.55,20.4,18.89,17.56,17.94,16.46,17.06,16.97
HSCB,10.95,12.82,13.07,10.17,12.75,9.82,9.4,8.67
CBY1,8.33,7.03,7.09,7.56,4.97,5.83,5.03,5.0
TOMM22,70.98,77.88,69.26,77.93,73.98,76.97,66.38,72.09
RSPH14,0.67,1.88,0.0,0.0,0.0,0.0,0.0,0.01
XBP1,320.13,359.14,338.86,324.09,207.41,195.42,208.71,166.83
RTCB,40.9,47.98,43.06,39.4,49.88,43.12,43.55,41.56
JOSD1,20.17,23.14,19.26,17.49,17.57,13.48,15.59,12.59
FBXO7,50.57,56.61,51.7,51.81,51.89,50.07,56.88,47.8
GTPBP1,12.93,14.64,11.19,17.28,10.64,11.43,9.82,8.98
POLDIP3,36.56,42.51,34.86,33.56,34.32,30.25,32.4,29.7
RAB36,0.09,0.03,0.09,0.03,0.02,0.18,0.04,0.04
TIMP3,0.06,0.04,0.02,0.05,0.07,0.05,0.12,0.03
PPP6R2,19.03,21.41,17.98,15.73,18.93,15.93,16.99,16.14
SBF1,20.44,25.48,17.87,16.95,19.24,14.43,15.31,13.44
SUN2,60.84,81.85,60.8,54.98,63.45,53.22,56.17,52.04
CYB5R3,54.17,57.13,44.21,52.98,41.51,37.71,41.57,34.14
DNAL4,6.58,9.95,7.44,6.32,6.02,6.14,6.95,5.65
MIOX,0.0,0.06,0.03,0.0,0.0,0.0,0.0,0.0
LMF2,9.28,12.5,8.98,8.07,11.23,7.52,11.47,7.22
RHBDD3,8.11,11.75,8.99,7.52,8.75,7.33,7.93,7.32
PACSIN2,27.2,29.01,27.72,23.86,24.59,22.03,24.7,23.09
TTLL1,4.25,5.22,4.45,5.05,4.26,5.88,5.33,4.21
RASL10A,0.0,0.28,0.27,0.07,0.37,0.0,0.0,0.0
AP1B1,25.57,29.01,21.35,21.86,23.34,20.08,20.93,18.56
HMGXB4,24.11,22.61,21.52,24.13,20.43,21.74,21.88,20.82
TOM1,12.42,12.29,11.0,13.22,9.43,8.93,8.61,8.08
NEFH,5.24,5.08,3.66,4.84,4.24,3.95,3.66,4.01
CHKB,19.2,23.86,20.04,23.16,23.99,28.24,25.14,21.58
BIK,6.12,11.39,9.29,6.92,11.1,9.06,11.38,8.46
HMOX1,2.73,3.32,2.42,2.77,1.26,1.26,1.37,1.01
MCAT,10.53,15.02,10.32,9.32,12.37,12.79,15.02,11.55
THOC5,16.95,18.86,16.1,15.2,15.97,13.18,15.75,15.07
MCM5,86.16,90.49,75.73,71.67,80.26,65.15,69.39,63.36
APOBEC3H,9.29,7.26,5.86,5.84,5.39,6.7,4.24,4.88
ARSA,10.45,12.09,7.55,7.97,9.8,8.46,8.68,7.31
TSPO,68.57,121.88,77.18,60.89,100.28,76.15,91.92,62.74
RASD2,0.45,0.28,0.36,0.3,0.12,0.19,0.05,0.09
TTLL12,42.57,45.09,37.22,35.17,37.97,34.39,34.83,33.98
CBX7,1.34,1.34,1.58,0.95,1.11,1.4,0.93,0.54
PDGFB,0.04,0.34,0.25,0.07,0.0,0.08,0.0,0.0
ACR,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0
CABP7,0.04,0.06,0.01,0.02,0.0,0.0,0.0,0.01
RPL3,2199.3,2936.0,2646.8,2251.1,2351.9,2050.6,2320.1,2101.3
ZMAT5,15.29,16.83,13.89,11.31,15.29,10.72,11.84,10.91
RBFOX2,0.77,0.32,0.44,0.48,0.44,0.59,0.68,0.4
SYNGR1,16.52,24.82,20.04,18.92,17.04,16.05,14.49,13.48
TAB1,19.55,22.36,18.56,18.46,15.7,15.28,15.44,13.69
ASCC2,33.67,32.96,30.11,35.19,28.21,24.95,34.06,26.12
MTMR3,6.8,7.08,6.1,5.26,6.51,3.82,5.35,4.13
MIEF1,32.99,36.1,29.98,29.81,29.18,23.41,26.04,22.19
APOL4,8.72,8.88,8.63,8.91,8.21,7.59,8.45,7.25
PNPLA5,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
APOL1,1.03,0.99,0.99,1.32,0.75,0.7,0.71,0.72
PNPLA3,4.89,5.06,4.87,4.58,5.06,4.53,4.41,3.87
MYH9,156.65,158.28,130.18,136.57,122.19,110.93,119.57,108.82
CACNA1I,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
SAMM50,44.18,47.14,41.81,40.16,46.1,38.45,45.75,38.15
TXN2,53.33,66.81,56.97,51.79,59.02,54.64,60.71,50.83
FOXRED2,20.02,20.67,15.71,18.1,18.35,14.99,15.32,14.41
GRAP2,0.18,0.19,0.07,0.03,0.19,0.8,0.24,0.07
EIF3D,228.86,232.54,226.59,221.36,208.3,195.58,192.46,191.47
TNRC6B,6.45,6.13,5.47,5.38,5.02,5.93,5.64,4.49
SGSM3,26.01,28.47,28.67,20.67,29.86,22.24,27.03,23.09
IFT27,14.0,17.69,14.74,13.23,16.31,12.65,18.88,12.83
PVALB,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0
KIAA0930,140.35,171.21,129.02,125.87,162.8,127.95,143.2,133.79
NCF4,75.53,88.23,77.36,73.45,91.49,85.95,84.63,85.52
CSF2RB,7.21,7.54,6.0,6.86,6.25,5.89,5.54,5.27
SLC25A17,8.28,9.13,7.54,8.57,9.55,10.36,8.28,8.99
UPK3A,0.76,0.71,1.01,1.67,0.78,1.88,1.11,1.06
FAM118A,13.1,10.07,8.58,10.18,11.18,11.74,10.47,11.19
KCTD17,4.66,5.72,3.72,3.84,7.54,4.7,4.09,3.85
ST13,163.89,161.53,159.43,166.81,138.1,137.51,143.75,140.63
IL2RB,2.4,2.31,1.64,2.07,0.72,0.65,0.9,0.5
RBX1,30.83,43.59,39.06,33.02,44.7,36.73,36.02,42.48
EP300,28.21,25.62,20.72,22.23,17.59,18.2,21.25,16.73
L3MBTL2,15.51,16.07,13.84,13.59,15.81,13.15,14.94,13.24
CHADL,0.08,0.35,0.03,0.19,0.11,0.07,0.33,0.12
RANGAP1,51.05,61.9,48.64,44.99,53.05,44.28,48.02,45.21
ZC3H7B,24.34,23.73,18.47,19.67,17.92,15.65,16.76,15.49
PHF5A,52.2,64.96,54.56,52.78,60.09,62.67,62.25,56.68
ACO2,50.4,55.4,47.26,47.32,48.48,41.74,49.29,39.86
POLR3H,16.45,21.29,15.69,15.73,18.63,15.65,16.55,15.08
TRMU,21.36,24.24,22.13,20.51,21.61,19.16,20.69,20.19
PMM1,6.39,7.4,6.9,5.09,5.12,5.15,5.72,5.22
DESI1,14.72,16.23,13.16,14.22,14.63,12.26,11.87,11.44
CERK,14.87,17.06,15.8,15.37,19.01,15.41,17.89,14.58
BRD1,16.89,15.68,14.25,16.9,14.63,15.31,14.52,13.62
ZBED4,17.49,16.97,13.91,14.29,13.71,12.36,13.67,11.96
MLC1,78.32,104.61,74.2,66.47,95.99,80.38,84.12,78.92
HDAC10,19.88,24.81,20.39,17.24,22.39,17.74,20.93,17.53
KCNK10,4.76,5.31,3.89,4.13,5.59,4.79,4.92,4.54
ABHD4,2.42,3.51,2.69,2.73,1.39,1.45,1.74,1.08
KHNYN,26.32,26.58,23.89,21.99,20.16,15.43,18.99,16.51
FKBP3,67.18,65.19,67.92,71.93,70.85,72.9,72.33,72.47
SDR39U1,22.96,37.2,25.91,25.23,27.32,22.97,25.64,22.06
CTSG,117.69,155.54,122.82,110.71,249.09,198.9,218.36,193.86
GZMB,0.0,0.08,0.0,0.0,0.0,0.0,0.14,0.0
RBM23,31.75,39.92,32.21,30.74,28.67,29.78,33.59,31.51
PRMT5,83.41,88.81,61.82,72.77,74.17,59.27,78.21,57.41
COCH,0.66,0.69,0.86,0.58,0.78,0.42,0.69,0.53
AP4S1,3.38,1.98,3.08,2.2,3.62,3.34,3.59,3.02
POLE2,15.31,14.58,17.67,14.64,15.37,16.78,17.69,19.97
VCPKMT,6.71,5.89,4.76,6.18,7.42,7.96,8.07,7.16
SOS2,12.39,9.74,10.26,11.02,9.28,10.73,11.73,8.68
CDKL1,10.31,5.89,4.39,11.52,10.2,4.46,9.22,4.76
NIN,23.95,17.2,16.02,17.11,18.54,19.47,19.12,17.45
PYGL,181.68,181.1,180.2,186.15,168.33,154.67,183.82,161.96
TRIM9,3.07,3.39,2.9,3.18,2.88,3.22,3.25,2.72
PSMC6,75.71,77.75,77.5,76.12,79.0,79.16,72.44,71.46
GNPNAT1,14.81,12.08,15.96,12.85,14.58,15.08,14.09,12.03
DDHD1,3.93,3.61,3.67,3.33,3.88,4.14,4.15,3.93
CDKN3,46.71,48.99,49.64,49.24,49.82,52.66,46.79,47.32
CNIH1,76.7,78.39,73.93,66.42,57.66,68.7,63.96,57.09
CGRRF1,1.99,1.42,1.37,1.62,1.05,2.02,2.41,1.45
ATP6V1D,48.68,42.57,42.04,40.77,44.01,53.62,52.58,47.72
PIGH,7.17,7.3,5.47,7.05,7.77,7.11,7.62,6.9
PSMA3,177.29,179.92,178.02,170.24,209.95,211.54,219.69,192.76
VTI1B,28.81,38.91,35.41,28.63,31.46,31.84,36.02,36.25
TIMM9,46.01,49.24,53.1,39.72,45.83,46.14,50.26,45.6
GSTZ1,23.21,31.97,30.06,20.08,29.22,22.5,28.05,21.98
KIAA0586,22.19,18.65,17.66,17.34,13.36,12.92,18.1,15.16
TMED8,33.06,28.53,25.35,28.39,28.51,29.51,28.53,26.72
SAMD15,1.79,1.22,0.83,0.99,1.19,0.93,2.17,1.46
AHSA1,144.4,135.2,135.52,145.03,149.5,150.35,134.14,161.28
DAAM1,3.67,3.33,3.29,3.69,4.43,2.81,4.68,2.55
ISM2,0.04,0.01,0.0,0.04,0.0,0.09,0.0,0.04
SPTLC2,50.74,44.92,40.35,46.03,38.6,38.08,39.02,35.04
RIN3,8.85,9.3,9.12,8.81,6.9,6.62,7.43,5.45
LGMN,0.0,0.32,0.1,0.03,0.31,0.05,0.29,0.23
ALKBH1,7.92,8.65,8.74,8.11,7.23,7.9,8.61,7.9
SNW1,78.03,85.34,88.71,84.6,68.74,80.85,79.52,68.1
ITPK1,20.31,19.96,18.56,18.09,16.42,13.65,14.76,14.22
DHRS7,15.46,18.06,18.0,17.27,17.14,14.0,18.69,14.43
PPM1A,20.74,18.36,19.51,18.46,18.26,18.77,20.67,15.69
SIX4,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
GALNT16,0.0,0.0,0.03,0.0,0.0,0.01,0.01,0.02
ASB2,2.51,2.63,2.39,2.06,2.01,1.26,1.64,1.66
CEP128,10.87,8.07,7.43,8.12,7.77,8.07,9.07,7.78
ERH,201.22,251.82,221.16,210.41,208.6,196.63,195.81,207.97
HIF1A,22.83,20.89,18.52,19.66,14.57,15.37,22.05,15.23
SUSD6,6.32,7.57,6.04,5.92,5.76,6.47,6.44,5.35
SRSF5,254.26,245.86,251.93,253.05,263.65,259.96,287.37,271.18
SLC10A1,0.07,0.02,0.04,0.06,0.0,0.0,0.04,0.0
EIF5,108.82,91.88,89.62,99.39,74.75,81.58,86.99,68.74
DICER1,13.33,10.35,9.59,9.45,9.74,10.32,10.02,9.39
ZFYVE21,12.64,14.51,14.23,14.6,15.75,14.14,15.35,13.77
MTHFD1,94.27,100.81,86.31,83.22,103.62,85.93,97.82,84.41
ZC3H14,19.33,19.0,19.71,18.8,18.63,19.11,19.81,17.57
TELO2,19.03,29.86,21.14,18.18,26.24,20.02,21.85,19.75
PCNX1,9.27,7.15,7.88,11.98,8.41,7.71,8.69,6.57
BDKRB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
GSKIP,8.51,9.48,8.36,9.32,9.15,9.23,9.54,9.08
VRK1,74.14,58.27,70.85,70.86,68.2,72.31,74.72,71.42
PSMC1,295.25,278.62,307.22,299.92,263.82,280.86,267.54,287.6
PAPLN,2.67,3.82,2.94,3.35,3.15,3.64,3.49,2.75
RPS6KA5,4.68,4.16,3.96,4.15,3.16,3.35,3.98,2.8
PPP4R3A,63.71,60.46,56.3,63.85,61.7,64.27,60.12,55.0
C14orf93,4.56,5.0,4.75,4.39,3.41,4.11,4.48,3.57
PSMB5,49.59,65.42,47.41,49.0,52.52,47.09,46.75,44.64
YY1,43.99,43.98,40.32,43.05,48.94,49.86,45.86,39.25
ACIN1,140.41,142.04,131.16,142.69,118.99,117.58,113.87,117.48
CCNB1IP1,53.77,67.96,70.87,60.35,54.4,54.67,65.22,52.03
TRIP11,7.25,5.12,5.14,5.65,5.22,6.37,7.0,5.34
APEX1,460.78,455.68,448.84,429.14,404.91,412.26,424.88,419.52
PABPN1,137.0,145.64,134.75,141.57,138.69,123.44,126.2,130.13
ARHGAP5,0.0,0.01,0.0,0.0,0.0,0.19,0.03,0.0
CINP,39.49,35.32,34.4,33.26,28.33,31.99,38.68,29.2
DHRS2,0.5,0.79,0.49,0.54,0.37,0.46,0.35,0.43
SRP54,45.25,39.35,43.66,43.54,43.45,40.91,47.5,37.98
CPNE6,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
CHD8,38.52,36.24,32.39,33.01,35.88,29.48,33.04,31.08
PCK2,11.33,15.56,12.84,12.32,9.05,8.74,8.57,6.9
PRORP,13.07,13.62,13.43,12.47,14.19,12.6,13.37,11.7
DCAF11,47.68,44.29,42.52,43.12,36.59,31.73,38.39,33.57
PSMA6,170.97,201.71,209.84,183.38,228.81,215.84,223.12,195.0
NFKBIA,18.93,19.63,17.72,19.01,20.52,19.0,20.63,18.54
EMC9,11.57,15.29,13.22,10.34,17.39,11.55,14.0,11.71
PSME2,173.28,226.87,190.14,171.65,204.26,176.93,178.42,176.17
BRMS1L,5.51,4.97,5.16,5.58,6.22,8.18,5.38,5.86
REC8,1.07,2.58,2.46,2.36,4.51,1.88,1.67,1.54
TM9SF1,23.98,26.53,21.8,23.54,24.33,23.06,24.17,21.88
